wid,stimulus,button_pressed,time_elapsed,rt,trial_type,view_history,questions,responses,correct,queries,block,actions,delays,rewards,prs,score,action_times,trial_id,trial_time,path,simulation_mode,state_rewards,trial_index,key_press
w2f7c465,,,454473,36848,survey-text,,,"{""Q0"":""choosing the path where i can earn more""}",,,,,,,,,,,,,,,,
we404ecf,,,349918,35912,survey-text,,,"{""Q0"":""It only costs $1 to look at a node, so look at them. The further nodes tell you the highest output (about) so look at those first""}",,,,,,,,,,,,,,,,
wd0081d4,,,181164,13197,survey-text,,,"{""Q0"":""I learned to click nodes efficiently to maximize my earnings""}",,,,,,,,,,,,,,,,
w553c4fe,,,265545,12262,survey-text,,,"{""Q0"":""No"",""Q1"":""21"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w27b8993,,,353946,44110,survey-text,,,"{""Q0"":""I tried to decrease my amount of clicks and just go for a positive value near 50."",""Q1"":""28"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w2224a1f,,,722227,164723,survey-text,,,"{""Q0"":""Possibly?? I tried to not click too many nodes--about one per grouping--to get an idea of how much I could get without using up all that money from clicking since that can add up quickly. If I found a really high number, I stopped clicking immediately and went for that one."",""Q1"":""26"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w822dbd6,,,543751,40422,survey-text,,,"{""Q0"":""I'm more efficient in trying to find the most valuable route.""}",,,,,,,,,,,,,,,,
w7e54ba1,,,408129,32157,survey-text,,,"{""Q0"":""I learned to move the spider towards the most positive numbers and towards the largest numbers.""}",,,,,,,,,,,,,,,,
we2d1dfd,,,367811,22085,survey-text,,,"{""Q0"":""I learned to look far ahead for benefits in taking a certain route"",""Q1"":""34"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wde70d7c,,,314872,50131,survey-text,,,"{""Q0"":""clicking on all terminal nodes until i  find a 48 was the plan. sometimes the trainer would inform me i went the wrong way, meaning sometimes multiple nodes contain 48, so i should click all""}",,,,,,,,,,,,,,,,
w87ba793,,,356503,42115,survey-text,,,"{""Q0"":""I click the nodes at the very ends of the web to check how much the finishing price is.""}",,,,,,,,,,,,,,,,
w95dd100,,,369884,59650,survey-text,,,"{""Q0"":""I learned that only one of the first three circles will be \""in the green\"" so there is no point paying $1 for the other two if I have clicked on that one first.""}",,,,,,,,,,,,,,,,
wb19c9b2,,,434075,45093,survey-text,,,"{""Q0"":""It wasn't clear in the beginning in the instructions that you HAD to find the highest positive value. Once It was implied I searched for the highest value. ""}",,,,,,,,,,,,,,,,
w9b1fd96,,,399556,127080,survey-text,,,"{""Q0"":""...no. I don't think I'm very good at this game at all. Now that I think about it, was I supposed to be able to tell the value of ANY node for $3 before departing from my origin, or just the ones that were one step away from me? For some reason I assumed it was only the ones next to me, but if it was the end-of-route nodes too, that would've been pretty helpful. \n\nIn the last few rounds of this session, I decided it wasn't worth spending the 6-9 dollars to determine which of the three branches to take since I was losing a lot each round anyway."",""Q1"":""22"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wcc818a2,,,379389,43609,survey-text,,,"{""Q0"":""This time I realized it wasn't worth it to check every destination. I ended up just clicking until I found a good number."",""Q1"":""23"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wa51793d,,,422254,62827,survey-text,,,"{""Q0"":""I learned something about following the beginning arrows but I struggled to figure out how to decide which direction to go from there.  I tried to learn patterns but I didn't really get that worked out.  If the amounts are to be believed, I went backwards in learning."",""Q1"":""52"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w95dd100,,,486946,76640,survey-text,,,"{""Q0"":""I started clicking on a few of the end destinations to try and find the best one, or at least eliminate some of the worst ones? And I believe that helped. "",""Q1"":""38"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wa7fe7b9,,,370630,47131,survey-text,,,"{""Q0"":""I made my strategy, not to spend too much and go for the first one that makes me profit"",""Q1"":""40"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wbf48387,,,347787,9539,survey-text,,,"{""Q0"":""not really"",""Q1"":""23"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wb1d44a5,,,446906,67107,survey-text,,,"{""Q0"":""I stopped trying to find the highest possible finishing spot and focused on any higher-value spot that should at least put me even. I was spending too much money revealing final stops in the initial rounds to the extent that it was costing me money even if I did find a better value path."",""Q1"":""38"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w121b9c1,,,379516,81024,survey-text,,,"{""Q0"":""With more ending nodes and a higher cost to check nodes, it made more sense to simply accept the first relatively good ending node, as opposed to continuing to look for the most valuable."",""Q1"":""22"",""Q2"":""Cis Male""}",,,,,,,,,,,,,,,,
w2ce5269,,,323669,16428,survey-text,,,"{""Q0"":""Click arrows on the end first"",""Q1"":""19"",""Q2"":""woman""}",,,,,,,,,,,,,,,,
wba5cfab,,,284499,9520,survey-text,,,"{""Q0"":""no"",""Q1"":""21"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w1f49a65,,,417139,78686,survey-text,,,"{""Q0"":""I learned that it was smarter to just take a lower profit (like $20), rather than to spend $3 over and over to determine every outcome."",""Q1"":""23"",""Q2"":""Woman""}",,,,,,,,,,,,,,,,
w1a8d4d0,,,507536,122372,survey-text,,,"{""Q0"":""I realize now, TOO LATE, on day 2, that I should have clicked on the end nodes to reveal the end result, but to go with the first node that SEEMED high enough to substantiate the loss it took/cost me to reveal the answer. "",""Q1"":""47"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w4f70e59,,,303836,19613,survey-text,,,"{""Q0"":""Not really"",""Q1"":""23"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wffa22e4,,,290278,26998,survey-text,,,"{""Q0"":""I learned to better click around and strategy to get the highest amount of points"",""Q1"":""19"",""Q2"":""male""}",,,,,,,,,,,,,,,,
wcd17cba,,,271886,13518,survey-text,,,"{""Q0"":""I did not."",""Q1"":""27"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w61e9b7a,,,599482,130775,survey-text,,,"{""Q0"":""I don't think I had a great strategy. From beginning to end I just tried to use the node inspector to my advantage, but I don't think I did very well!""}",,,,,,,,,,,,,,,,
wf76281c,,,906549,24665,survey-text,,,"{""Q0"":""I didn't feel like I got any better so I can't say for sure.""}",,,,,,,,,,,,,,,,
wb82f354,,,621501,29307,survey-text,,,"{""Q0"":""I am not sure of anything learned.  I have done nothing differently.""}",,,,,,,,,,,,,,,,
w4d3ace0,,,445891,25325,survey-text,,,"{""Q0"":""Unfortunately, no, I did not."",""Q1"":""34"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wf36627e,,,505913,40815,survey-text,,,"{""Q0"":""I just looked for positives at the end of the routes, because those values were typically worth more."",""Q1"":""29"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w74c6f79,,,520555,120310,survey-text,,,"{""Q0"":""At first I was revealing the nodes because I thought that would help me but I realized it was making me lose more money. Due to the random nature of the game it seems like it's better for me to just make a move blindly instead of revealing everything.""}",,,,,,,,,,,,,,,,
wb4732b3,,,412107,81602,survey-text,,,"{""Q0"":""There seemed to be more nodes in this game compared to the other one, so as soon as I found an end node that was high enough (usually > $35) I just went for it because 1) it was expensive to reveal node values and 2) the intermediary nodes seemed to be way smaller gains/losses than end nodes"",""Q1"":""27"",""Q2"":""Woman""}",,,,,,,,,,,,,,,,
wb5542cf,,,379048,45722,survey-text,,,"{""Q0"":""I did not really learn anything, and do not think I'll do anything differently.""}",,,,,,,,,,,,,,,,
w8849c6d,,,524951,22009,survey-text,,,"{""Q0"":""no"",""Q1"":""34"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wba5cfab,,,277488,22132,survey-text,,,"{""Q0"":""I click on all the grey circles around me to see what my options are and which path I want to take.""}",,,,,,,,,,,,,,,,
w6a5935c,,,262932,50397,survey-text,,,"{""Q0"":""I focused on the end of the tree rather than waste money on all of it, as the high values were what really mattered. If I found the $48, then nothing else mattered as getting there gave me a maximum profit. ""}",,,,,,,,,,,,,,,,
w1bcf0d4,,,429116,26232,survey-text,,,"{""Q0"":""I've learned to only click on certain nodes to find where the cash is""}",,,,,,,,,,,,,,,,
w6f2000f,,,788659,40847,survey-text,,,"{""Q0"":""Yes I have learned how to plan better since the first part of the study. It is more important how you end the journey rather than how you start it."",""Q1"":""33"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wa655ea6,,,569855,44714,survey-text,,,"{""Q0"":""I figured out that the end nodes usually had the highest values and the earlier nodes were usually low value so they didn't really matter when it came to getting the highest amount of profit"",""Q1"":""28"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w3c3e725,,,482902,86498,survey-text,,,"{""Q0"":""First few rounds I used the same strategy as yesterday. Clicking on all the spaces. But I ended up losing money. So I changed strategy to just clicking on a few of the spaces. And I ended up making a small profit."",""Q1"":""26"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
weefa095,,,386496,46661,survey-text,,,"{""Q0"":""not really, it still felt very random where the money was, so I just clicked until I found a high number. "",""Q1"":""28"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w711bb52,,,257843,21354,survey-text,,,"{""Q0"":""usually the money wouldnt be in same spot"",""Q1"":""24"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w76e01de,,,299365,20809,survey-text,,,"{""Q0"":""To not guess as much."",""Q1"":""24"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w3013d26,,,401420,48074,survey-text,,,"{""Q0"":""I learned to click on the furthest node from the spider and looked for the highest number. Once the highest number was found, I had the spider take that route.""}",,,,,,,,,,,,,,,,
wadceaf5,,,432963,70265,survey-text,,,"{""Q0"":""Clicking only the furthest circles and stopping when I find +48\nIf multiple +24, then check intermediate values""}",,,,,,,,,,,,,,,,
wfaaa4c5,,,506219,92063,survey-text,,,"{""Q0"":""I have learned to maximize my earnings its best to click on the circles before going in blind to lose money. Its a great strategy rather than losing all of your money at once, so having the patience could yield greater results!""}",,,,,,,,,,,,,,,,
wa5f061a,,,367129,75633,survey-text,,,"{""Q0"":""In the last game I think that you weren't allowed to make moves that weren't ideal, and in this one you were. So in this game, I went with the knoweldge that the destination number is likely to be the biggest number - and if it's positive, you will probably come out positive, and if negative, you'll probably lose money. "",""Q1"":""40"",""Q2"":""woman""}",,,,,,,,,,,,,,,,
wb0d67f3,,,289590,25763,survey-text,,,"{""Q0"":""Being more open to click on the nodes--looking at the last nodes shows the highest/lowest values possible""}",,,,,,,,,,,,,,,,
wa77d5d7,,,487795,22399,survey-text,,,"{""Q0"":""I learned to click every node so i know exactly how to move.""}",,,,,,,,,,,,,,,,
w4a8429b,,,331017,53155,survey-text,,,"{""Q0"":""I learned to optimize the amount of nodes that I reveal while still gaining the largest amount of $.""}",,,,,,,,,,,,,,,,
w2ce5269,,,539970,38727,survey-text,,,"{""Q0"":""I click all of the buttons next to the first button, as well as all of the buttons at the end of each branch. Instead of just clicking all buttons from one group.""}",,,,,,,,,,,,,,,,
w55b7066,,,573562,95693,survey-text,,,"{""Q0"":""At first, I thought checking the tiles next to me was considered best, but checking the four nodes at the end was. Once a 48 is found, then it makes sense to move in that direction since that's the max value one can get from a node.""}",,,,,,,,,,,,,,,,
w3f028f3,,,742328,12908,survey-text,,,"{""Q0"":""You have to spend money to make money""}",,,,,,,,,,,,,,,,
waa35328,,,377624,42962,survey-text,,,"{""Q0"":""Prioritizing and minimizing the amount of nodes I click""}",,,,,,,,,,,,,,,,
wc1b79e1,,,403005,12345,survey-text,,,"{""Q0"":""No"",""Q1"":""25"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wbf48387,,,256396,40024,survey-text,,,"{""Q0"":""not being excessively careful and going for the nodes that have the max green value of 48 if possible. the cost of checking all the nodes is notoptimal""}",,,,,,,,,,,,,,,,
w3104315,,,349320,44317,survey-text,,,"{""Q0"":""I learned that once I found a decent end node, I needed to just take it instead of shopping around. The $3 penalty was much more impactful than the $1 yesterday"",""Q1"":""32"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wde69858,,,376616,47108,survey-text,,,"{""Q0"":""My strategy was to only uncover a limited amount of destinations to mitigate loss. "",""Q1"":""30"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w0604ccd,,,467878,131035,survey-text,,,"{""Q0"":""Price increases from initial node outward. Node values are not reflected symmetrically placed on map. Value range does not guarantee a 48 is present on map. ""}",,,,,,,,,,,,,,,,
wa029bc1,,,340252,39294,survey-text,,,"{""Q0"":""I tried to make sure that I was at least going for a decent ending amount of money before moving."",""Q1"":""32"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w2224a1f,,,496041,159364,survey-text,,,"{""Q0"":""In the first round, I was kind of playing randomly. By the second round, I was clicking each node until I found the 48 and then went to find it. Then when there were rounds that only included -48 or 24 in the nodes, I realized I should click the middle nodes to see what had a greater payout in the path, though I did mess up during a round after I started doing that.""}",,,,,,,,,,,,,,,,
wb2c69c8,,,288572,40710,survey-text,,,"{""Q0"":""I realize it's best to always try checking the prices of the first surrounding nodes, but I will only try that method if I have some cash to burn. I try to pick the option that will net me the least loss of money""}",,,,,,,,,,,,,,,,
wfd168a1,,,395893,48675,survey-text,,,"{""Q0"":""I actually went in with the plan to just click the nodes until I found the best path because the reward is greater than the cost.""}",,,,,,,,,,,,,,,,
wadc9d05,,,645450,21917,survey-text,,,"{""Q0"":""I clicked on highlighted before they were highlighted""}",,,,,,,,,,,,,,,,
w131bb1f,,,424013,27293,survey-text,,,"{""Q0"":""find a high value airport then go there. don't waste money checking all of them"",""Q1"":""20"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wb4732b3,,,364599,46007,survey-text,,,"{""Q0"":""I started clicking on the end nodes first, because if there was only 1 $48, then it seemed like there was no need to click on any intermediary nodes because it was always a better deal.""}",,,,,,,,,,,,,,,,
w164f313,,,378488,91212,survey-text,,,"{""Q0"":""Going at random has its disadvantages when they are so many routes, so you have to know when to just stop and go with the highest paying end."",""Q1"":""23"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wfa98644,,,462072,11881,survey-text,,,"{""Q0"":""Just trying random things""}",,,,,,,,,,,,,,,,
w9089f6a,,,284622,31936,survey-text,,,"{""Q0"":""I think the strategy of searching for the $48 node is time-efficient without having to assess every single endpoint.""}",,,,,,,,,,,,,,,,
w98bf507,,,366338,18117,survey-text,,,"{""Q0"":""I focused on the outermost nodes. "",""Q1"":""22"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w9966dae,,,933886,26333,survey-text,,,"{""Q0"":""I sort of learned to minimize how many nodes I needed to reveal the best path.""}",,,,,,,,,,,,,,,,
w7892c83,,,420111,31693,survey-text,,,"{""Q0"":""I learned that the end nodes have the highest value so you should click all of those and go toward the highest value one.""}",,,,,,,,,,,,,,,,
w2d09e07,,,326110,40853,survey-text,,,"{""Q0"":""It seemed like clicking to reveal a space was more of a waste of money because after that first space, you could lose on the next so I started conserving money and just guessing."",""Q1"":""34"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
we2d1dfd,,,284476,20671,survey-text,,,"{""Q0"":""clicking through a full tree to make sure I landed on an optimal amount of cash""}",,,,,,,,,,,,,,,,
w6b1b7c5,,,286958,7645,survey-text,,,"{""Q0"":""Find the 48""}",,,,,,,,,,,,,,,,
wc60255e,,,362853,23650,survey-text,,,"{""Q0"":""Learn when to cut my losses. If I find a decent final payout early then start down that path."",""Q1"":""36"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w9fdf69d,,,415984,47264,survey-text,,,"{""Q0"":""I tried to limit my checks to not lose the money, but sometimes there were only negatives available. A few times I just took the shot and moved to the unknown. It was pretty fun though and I think it was a cool study."",""Q1"":""34"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wc56f217,,,439740,21924,survey-text,,,"{""Q0"":""I learned that I just needed to identify where the 48 was""}",,,,,,,,,,,,,,,,
w4fdfaa8,,,312094,37058,survey-text,,,"{""Q0"":""If I saw a +48, I just went towards it.  I tried just revealing the distant corners and making a decision based on them instead of revealing all.""}",,,,,,,,,,,,,,,,
wb0048d6,,,322089,56329,survey-text,,,"{""Q0"":""At first I was testing the first node I could move to, but I learned those always have a small number. The big number that matters is at the end of the node. Knowing the nodes in between doesn't matter.""}",,,,,,,,,,,,,,,,
wf69e14e,,,454145,36517,survey-text,,,"{""Q0"":""I would select the final destinations to reveal and see which one had the highest ending position/"",""Q1"":""23"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w60c57f3,,,377717,40325,survey-text,,,"{""Q0"":""Working backwards from an end node is much more efficient than working from the spider's original position.""}",,,,,,,,,,,,,,,,
wa7fe7b9,,,426611,29921,survey-text,,,"{""Q0"":""look at all the possibilities, and choose the best""}",,,,,,,,,,,,,,,,
w05c03dc,,,418552,35109,survey-text,,,"{""Q0"":""You can just click on the end result nodes to see which ones have the highest dollar value because the other nodes had lower absolute values.""}",,,,,,,,,,,,,,,,
wd316fd3,,,295307,12997,survey-text,,,"{""Q0"":""No"",""Q1"":""25"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w801a8f0,,,363975,46625,survey-text,,,"{""Q0"":""I learned that it's better to take a smaller amount of money than gamble and try to find a node with more money"",""Q1"":""23"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wd3fa27d,,,487698,50354,survey-text,,,"{""Q0"":""Somewhat. It was better to just pursue profit with less of a chance of loss than spending more trying to achieve the highest outcome."",""Q1"":""38"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w01669a7,,,377889,45688,survey-text,,,"{""Q0"":""I learned that it's better to spend a few points checking a spot several moves away so I can tell if going in that direction is a good investment or not."",""Q1"":""34"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wd16177d,,,522055,51070,survey-text,,,"{""Q0"":""Now I understand you had to find the positive amounts then move there, not just pick a random spot.""}",,,,,,,,,,,,,,,,
we547607,,,301892,12922,survey-text,,,"{""Q0"":""not really"",""Q1"":""31"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w8278843,,,423936,29596,survey-text,,,"{""Q0"":""I am spending the money to just uncover all the Nodes so I know which is the best route since the money made will make it up anyway.""}",,,,,,,,,,,,,,,,
w64d60fc,,,424363,16314,survey-text,,,"{""Q0"":""that not using the cheat gets me punished sometimes""}",,,,,,,,,,,,,,,,
w5f4991c,,,340586,30454,survey-text,,,"{""Q0"":""I learnt to look at the final outcome but also not to dither too much"",""Q1"":""22"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w72a67a8,,,466541,39883,survey-text,,,"{""Q0"":""I tried to check the end of the routes as they tended to have the larger rewards/penalties."",""Q1"":""36"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wdb29b3e,,,695752,132843,survey-text,,,"{""Q0"":""Yes.  I made the wrong move 2 or 3 times.  I started the plane upward instead of the right or left because the circle was above the plane.  Even though it was to may right or left the above took precedent on my first incorrect move. "",""Q1"":""70"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w3b97ab5,,,223337,30266,survey-text,,,"{""Q0"":""I am more liberal with my node revealer clicks, as the money I am making offsets the cost.""}",,,,,,,,,,,,,,,,
w8a8ab24,,,363046,62554,survey-text,,,"{""Q0"":""Clicking on the end nobes knowing the value of the two negatives in the path of getting there would not be more than 48.""}",,,,,,,,,,,,,,,,
w1a8d4d0,,,804459,86593,survey-text,,,"{""Q0"":""honestly i do NOT understand the instructions that I must check a HIGHLIGHTED a node. I can only use my arrows. I think of myself as a smart person, but I am not learning anything at all, nor am i doing anything differently""}",,,,,,,,,,,,,,,,
w268ba50,,,338610,11024,survey-text,,,"{""Q0"":""I guessed"",""Q1"":""34"",""Q2"":""cis female""}",,,,,,,,,,,,,,,,
wa655ea6,,,345205,14099,survey-text,,,"{""Q0"":""Not clicking as many nodes and only clicking ones that seem promising""}",,,,,,,,,,,,,,,,
wbe01bee,,,517079,20439,survey-text,,,"{""Q0"":""I didnt realize I had to click until I found the $48 before""}",,,,,,,,,,,,,,,,
w65df6b0,,,641758,49810,survey-text,,,"{""Q0"":""I started clicking on more of the nodes in the beginning to get a clear picture of the path that will lead to the most money. ""}",,,,,,,,,,,,,,,,
w4091bce,,,502892,25704,survey-text,,,"{""Q0"":""Checking the links between the final node and the starting node.""}",,,,,,,,,,,,,,,,
wc2b5152,,,297227,25638,survey-text,,,"{""Q0"":""not really just mainly random and going for the highest green I found"",""Q1"":""30"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w57cddb3,,,384742,51426,survey-text,,,"{""Q0"":""Selecting different routes than I would normally take through better guessing.""}",,,,,,,,,,,,,,,,
wa882f45,,,381971,88507,survey-text,,,"{""Q0"":""at first i tried to guess without clicking but then i lost a large amount of cash.\ni then started to click nodes randomly but i was losing potential dollars saved so i only clicked on the final nodes and went to the one with the most""}",,,,,,,,,,,,,,,,
w2e1b41e,,,682013,52049,survey-text,,,"{""Q0"":""It seems I have to use the revealer and make my initial move to the negative node first (?) and then move in  that direction, that was really confusing ""}",,,,,,,,,,,,,,,,
wa51793d,,,547290,25663,survey-text,,,"{""Q0"":""I know now that I need to spend the $1 and explore all possible directions.""}",,,,,,,,,,,,,,,,
wd16177d,,,441052,34052,survey-text,,,"{""Q0"":""Not really"",""Q1"":""57"",""Q2"":""Female, the one I was born.""}",,,,,,,,,,,,,,,,
w8d52ecb,,,411232,87727,survey-text,,,"{""Q0"":""It all seemed random so not really."",""Q1"":""26"",""Q2"":""male""}",,,,,,,,,,,,,,,,
wdfa349a,,,398599,43359,survey-text,,,"{""Q0"":""I learned that, compared to the first stage, in this stage it was often best to choose the first path that seemed rewarding enough, rather than trying to find the optimal route, because the cost of checking each node was higher."",""Q1"":""33"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wc336e2f,,,228957,13573,survey-text,,,"{""Q0"":""once I see a 48, go straight for it.""}",,,,,,,,,,,,,,,,
wd7312ba,,,302048,22331,survey-text,,,"{""Q0"":""You should click nodes far ahead of where you are and plan out your path.""}",,,,,,,,,,,,,,,,
w952789a,,,650360,237139,survey-text,,,"{""Q0"":""My goal was to get at least 500 and could play fairly conservatively to get that number. I basically tried to find a green 15 or above and then would head straight to it. I assumed randomness instead of searching for a pattern."",""Q1"":""47"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w21f2f2f,,,248560,39304,survey-text,,,"{""Q0"":""I mostly click to reveal the reward on my first step""}",,,,,,,,,,,,,,,,
w4cdd8c7,,,855478,37100,survey-text,,,"{""Q0"":""Being more patient. Learning that sometimes, the first positive step may not always lead to the highest paying outcome.""}",,,,,,,,,,,,,,,,
w6f2000f,,,689110,48157,survey-text,,,"{""Q0"":""Checking the end of the journey is more important than making sure that the very first step is right. The final outcome being of a higher value than the most immediate one pays off.""}",,,,,,,,,,,,,,,,
w2a77652,,,369176,25632,survey-text,,,"{""Q0"":""I clicked more nodes.""}",,,,,,,,,,,,,,,,
w9b1fd96,,,347702,161440,survey-text,,,"{""Q0"":""Towards the end, I figured I could save a few dollars that I would spend checking the nodes and just choose the same path every time. I thought over enough trials, the value of those dots would get me to breakeven and I wouldn't pay $1 to check any nodes. It turned out that didn't work so well and I lost money for like 4 rounds straight. Before doing that, my plan had been to check the nodes and if I found a +4 one, I would proceed along that path without needing to check any further nodes. Then I would go all the way to the end, moving counterclockwise (for consistency).""}",,,,,,,,,,,,,,,,
w85cb4f9,,,335909,77587,survey-text,,,"{""Q0"":""After I found out there were higher prices, I ended up looking at the end nodes until I find one with at least 25 to make up for the loss."",""Q1"":""19"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wd0081d4,,,310953,10962,survey-text,,,"{""Q0"":""Not since the starting test"",""Q1"":""30"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wada7d0d,,,350875,25707,survey-text,,,"{""Q0"":""the big amounts will be in the furthest circles so just click those""}",,,,,,,,,,,,,,,,
w04f8a30,,,660338,62251,survey-text,,,"{""Q0"":""I learned to check the most valuable net node. I have a strategy to play with this game compared to the beginning. ""}",,,,,,,,,,,,,,,,
wf36627e,,,359927,44685,survey-text,,,"{""Q0"":""I learned to use the inspector strategically. I look through the positive paths and try to find the +48""}",,,,,,,,,,,,,,,,
wbe01bee,,,404631,10130,survey-text,,,"{""Q0"":""No"",""Q1"":""25"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w43ee5a2,,,355308,31271,survey-text,,,"{""Q0"":""I used my hints more than yesterday!"",""Q1"":""48"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w3052d4f,,,406537,134414,survey-text,,,"{""Q0"":""I felt like it was always worth checking the nodes until I found a 48 because it was always a net gain to get one even if you had to check multiple nodes. It made me more thorough.""}",,,,,,,,,,,,,,,,
w553c4fe,,,208061,17361,survey-text,,,"{""Q0"":""Nothing. I'm going to go with my gut instinct every time, as I did in practice.""}",,,,,,,,,,,,,,,,
wbccf662,,,557947,102267,survey-text,,,"{""Q0"":""I learned that I only needed to look at the end points to choose a path.  And I only needed to look until I found a +$48.  If there was none then I looked to see where the highest amount was.""}",,,,,,,,,,,,,,,,
w4cc6f0b,,,794206,58448,survey-text,,,"{""Q0"":""I learned that the largest magnitude \""endpoint\"" was usually the middle of the three branches, which allowed me to cut down on revealing expenses"",""Q1"":""19"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w822dbd6,,,989748,171612,survey-text,,,"{""Q0"":""I continued to implement the same strategy as the previous day and learned I couldn't always make a profit."",""Q1"":""45"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wada7d0d,,,542839,28384,survey-text,,,"{""Q0"":""pick the first bigger amount i found"",""Q1"":""37"",""Q2"":""woman""}",,,,,,,,,,,,,,,,
