pid,bonus,completed,constantTest,startTime
52,2.11,True,True,Sun Dec 22 2019 15:52:22 GMT-0500 (Eastern Standard Time)
53,1.61,True,True,Sun Dec 22 2019 17:28:28 GMT-0500 (Eastern Standard Time)
54,0.2,True,True,Sun Dec 22 2019 18:11:55 GMT-0600 (Central Standard Time)
55,0.85,True,True,Sun Dec 22 2019 16:56:11 GMT-0500 (Eastern Standard Time)
56,1.37,True,True,Sun Dec 22 2019 13:56:01 GMT-0800 (Pacific Standard Time)
57,1.97,True,True,Sun Dec 22 2019 16:55:11 GMT-0500 (Eastern Standard Time)
58,2.06,True,True,Sun Dec 22 2019 17:56:19 GMT-0500 (Eastern Standard Time)
59,1.28,True,True,Sun Dec 22 2019 15:55:33 GMT-0600 (Central Standard Time)
60,1.83,True,False,Sun Dec 22 2019 17:05:11 GMT-0500 (Eastern Standard Time)
61,1.84,True,False,Sun Dec 22 2019 13:20:58 GMT-0800 (Pacific Standard Time)
62,0.88,True,True,Sun Dec 22 2019 15:08:59 GMT-0600 (Central Standard Time)
63,1.77,True,False,Sun Dec 22 2019 16:59:03 GMT-0500 (Eastern Standard Time)
64,1.69,True,True,Sun Dec 22 2019 13:56:22 GMT-0800 (Pacific Standard Time)
65,1.94,True,False,Sun Dec 22 2019 18:07:33 GMT-0500 (Eastern Standard Time)
66,0.97,True,True,Sun Dec 22 2019 16:58:55 GMT-0500 (Eastern Standard Time)
67,1.69,True,True,Sun Dec 22 2019 15:56:56 GMT-0500 (Eastern Standard Time)
68,1.76,True,False,Sun Dec 22 2019 14:56:23 GMT-0800 (Pacific Standard Time)
69,0.64,True,True,Sun Dec 22 2019 15:10:16 GMT-0600 (Central Standard Time)
70,1.78,True,True,Sun Dec 22 2019 17:05:17 GMT-0500 (Eastern Standard Time)
71,1.52,True,False,Sun Dec 22 2019 16:11:26 GMT-0600 (Central Standard Time)
72,0.0,True,True,Sun Dec 22 2019 16:55:11 GMT-0500 (Eastern Standard Time)
73,1.1,True,True,Sun Dec 22 2019 14:21:03 GMT-0800 (Pacific Standard Time)
74,1.43,True,False,Sun Dec 22 2019 17:42:54 GMT-0500 (Eastern Standard Time)
75,1.23,True,True,Sun Dec 22 2019 18:25:49 GMT-0500 (Eastern Standard Time)
76,0.27,True,True,Sun Dec 22 2019 14:02:29 GMT-0800 (Pacific Standard Time)
77,0.66,True,True,Sun Dec 22 2019 13:55:19 GMT-0800 (Pacific Standard Time)
78,1.68,True,False,Sun Dec 22 2019 15:38:41 GMT-0700 (Mountain Standard Time)
79,1.5,True,True,Sun Dec 22 2019 13:18:50 GMT-0800 (Pacific Standard Time)
80,2.01,True,False,Sun Dec 22 2019 15:03:54 GMT-0700 (Mountain Standard Time)
81,1.78,True,False,Sun Dec 22 2019 17:01:23 GMT-0700 (Mountain Standard Time)
82,1.96,True,True,Sun Dec 22 2019 14:32:23 GMT-0800 (Pacific Standard Time)
83,1.77,True,False,Sun Dec 22 2019 15:43:33 GMT-0600 (Central Standard Time)
84,1.65,True,False,Sun Dec 22 2019 16:55:09 GMT-0500 (Eastern Standard Time)
85,1.48,True,False,Sun Dec 22 2019 12:57:06 GMT-0800 (Pacific Standard Time)
86,1.84,True,True,Sun Dec 22 2019 17:10:08 GMT-0500 (Eastern Standard Time)
87,1.64,True,True,Sun Dec 22 2019 16:49:57 GMT-0500 (Eastern Standard Time)
88,0.86,True,True,Sun Dec 22 2019 14:56:32 GMT-0800 (Pacific Standard Time)
89,1.62,True,False,Sun Dec 22 2019 16:56:20 GMT-0500 (Eastern Standard Time)
90,1.77,True,False,Sun Dec 22 2019 15:09:54 GMT-0700 (Mountain Standard Time)
91,0.78,True,True,Sun Dec 22 2019 16:43:45 GMT-0600 (Central Standard Time)
92,1.11,True,True,Fri Dec 20 2019 16:53:42 GMT-0600 (Central Standard Time)
