wid,trial_type,rt,time_elapsed,view_history,questions,correct,responses,stimulus,button_pressed,action_times,trial_index,state_rewards,trial_time,delays,queries,simulation_mode,rewards,block,trial_id,score,prs,path,actions
we4dcf9f,survey-text,12951,750499,,,,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w8556b37,survey-text,7119,918789,,,,"{""Q0"":""31"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w7b03e6e,survey-text,10952,787415,,,,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w62e74fb,survey-text,10388,830178,,,,"{""Q0"":""35"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w7c47769,survey-text,11326,830301,,,,"{""Q0"":""26"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wb86496e,survey-text,6024,734294,,,,"{""Q0"":""19"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wdcc566c,survey-text,8589,762291,,,,"{""Q0"":""46"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w3913f64,survey-text,10282,890741,,,,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w8a5bf7c,survey-text,14994,563098,,,,"{""Q0"":""18"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w0a304c7,survey-text,9784,988092,,,,"{""Q0"":""45"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wdf5d6ce,survey-text,7969,644563,,,,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w2da5e2e,survey-text,15815,1112722,,,,"{""Q0"":""19"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w1afad0f,survey-text,11121,840570,,,,"{""Q0"":""30"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wc37aad7,survey-text,11840,894552,,,,"{""Q0"":""52"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w78a6f1b,survey-text,12162,1023206,,,,"{""Q0"":""23"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w22e3f70,survey-text,6394,1345514,,,,"{""Q0"":""21"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w2281b1f,survey-text,6227,587830,,,,"{""Q0"":""28"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w91695e7,survey-text,9097,655991,,,,"{""Q0"":""42"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w3005d69,survey-text,6843,720133,,,,"{""Q0"":""40"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wd5b046c,survey-text,5629,685069,,,,"{""Q0"":""37"",""Q1"":""m""}",,,,,,,,,,,,,,,,
w0200bf7,survey-text,15484,670477,,,,"{""Q0"":""38"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w03c7513,survey-text,8741,778863,,,,"{""Q0"":""30"",""Q1"":""woman""}",,,,,,,,,,,,,,,,
wde06356,survey-text,11519,925023,,,,"{""Q0"":""43"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w9515764,survey-text,6752,901130,,,,"{""Q0"":""22"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wd323310,survey-text,10760,1014698,,,,"{""Q0"":""53"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w7dd5ede,survey-text,15626,794866,,,,"{""Q0"":""35"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wa172eb8,survey-text,8699,838930,,,,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wad9ade5,survey-text,10195,1891820,,,,"{""Q0"":""50"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w8d67087,survey-text,19773,614725,,,,"{""Q0"":""20"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w39a170d,survey-text,5244,788195,,,,"{""Q0"":""24"",""Q1"":""Female\n""}",,,,,,,,,,,,,,,,
w312ae57,survey-text,8760,682033,,,,"{""Q0"":""23"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w6e73762,survey-text,5362,607668,,,,"{""Q0"":""36"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w985b9d0,survey-text,7620,648796,,,,"{""Q0"":""37"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w8742c0b,survey-text,6592,802580,,,,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w2b70bff,survey-text,8458,935724,,,,"{""Q0"":""30"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wbd3f15f,survey-text,6103,445563,,,,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w4df881a,survey-text,6427,1493016,,,,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w5c59817,survey-text,5643,566838,,,,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w904b67a,survey-text,8140,500810,,,,"{""Q0"":""45"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w12e7f08,survey-text,10916,1282154,,,,"{""Q0"":""29"",""Q1"":""female""}",,,,,,,,,,,,,,,,
we9dadfe,survey-text,6475,577753,,,,"{""Q0"":""2"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w5161ee5,survey-text,14848,957379,,,,"{""Q0"":""26"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
waf67840,survey-text,9039,459213,,,,"{""Q0"":""35"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wcf772a2,survey-text,15386,827002,,,,"{""Q0"":""33"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w749fd27,survey-text,6907,681017,,,,"{""Q0"":""30"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w57efc08,survey-text,6864,894664,,,,"{""Q0"":""27"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w2eb6ac9,survey-text,5218,894188,,,,"{""Q0"":""18"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wda68de9,survey-text,10380,653134,,,,"{""Q0"":""37"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w1dca4e3,survey-text,8876,1139183,,,,"{""Q0"":""30"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w28e0a19,survey-text,22520,695742,,,,"{""Q0"":""23"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wdec3721,survey-text,9055,855723,,,,"{""Q0"":""33"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wea78fe1,survey-text,9350,664577,,,,"{""Q0"":""26"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w0fa21b3,survey-text,15057,741621,,,,"{""Q0"":""38"",""Q1"":""m""}",,,,,,,,,,,,,,,,
wdeb06cf,survey-text,14271,683592,,,,"{""Q0"":""29"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wcd6e96f,survey-text,7134,858795,,,,"{""Q0"":""28"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wf744166,survey-text,8082,647455,,,,"{""Q0"":""25"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w87952a5,survey-text,6940,613448,,,,"{""Q0"":""21"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w8de7b16,survey-text,9183,888479,,,,"{""Q0"":""44"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w7fee6de,survey-text,13514,2407955,,,,"{""Q0"":""57"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
we79e438,survey-text,6570,788320,,,,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w6ace87f,survey-text,4163,551409,,,,"{""Q0"":""23"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w9f149de,survey-text,12226,1092142,,,,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wacbed5c,survey-text,9819,689642,,,,"{""Q0"":""46"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w3b22451,survey-text,8878,1192295,,,,"{""Q0"":""27"",""Q1"":""Black""}",,,,,,,,,,,,,,,,
w0bba8d9,survey-text,8907,620245,,,,"{""Q0"":""51"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wab64aff,survey-text,5770,1260409,,,,"{""Q0"":""18"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w0544983,survey-text,8466,606166,,,,"{""Q0"":""27"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w6be21ab,survey-text,9447,767271,,,,"{""Q0"":""59"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w05df988,survey-text,8127,604684,,,,"{""Q0"":""22"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w25b32ec,survey-text,8580,900455,,,,"{""Q0"":""28"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wf120886,survey-text,22912,668479,,,,"{""Q0"":""30"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w59ee120,survey-text,6594,898126,,,,"{""Q0"":""21"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wae0033c,survey-text,12384,578231,,,,"{""Q0"":""18"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w5e354c0,survey-text,5939,810986,,,,"{""Q0"":""50"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w188610b,survey-text,9148,743331,,,,"{""Q0"":""19"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wdaa5dd3,survey-text,8400,1929650,,,,"{""Q0"":""21"",""Q1"":""Female ""}",,,,,,,,,,,,,,,,
wae5ba04,survey-text,6874,835827,,,,"{""Q0"":""31"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w2b3367b,survey-text,7145,515121,,,,"{""Q0"":""26"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wecbeb4f,survey-text,13861,789234,,,,"{""Q0"":""20"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wafb71c6,survey-text,9629,650003,,,,"{""Q0"":""18"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w2c93f41,survey-text,15580,912637,,,,"{""Q0"":""63"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w877f325,survey-text,92777,787179,,,,"{""Q0"":""26"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wde83d37,survey-text,8439,495622,,,,"{""Q0"":""51"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w9093857,survey-text,4499,543578,,,,"{""Q0"":""24"",""Q1"":""Woman""}",,,,,,,,,,,,,,,,
w7bcac58,survey-text,10253,656161,,,,"{""Q0"":""23"",""Q1"":""F""}",,,,,,,,,,,,,,,,
wd4b9225,survey-text,17141,800274,,,,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w050b594,survey-text,4683,929955,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wcad3752,survey-text,8141,505867,,,,"{""Q0"":""47"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w7dc466a,survey-text,25029,634988,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w0af0759,survey-text,7525,651493,,,,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w21b455b,survey-text,7134,516294,,,,"{""Q0"":""29"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w318dabf,survey-text,7544,806009,,,,"{""Q0"":""30"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wccfc710,survey-text,12021,1321303,,,,"{""Q0"":""21"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w8e1cb64,survey-text,19554,779185,,,,"{""Q0"":""My current age is 22"",""Q1"":""I identify as a male""}",,,,,,,,,,,,,,,,
w2d702cb,survey-text,12638,901530,,,,"{""Q0"":""22"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w5b73c55,survey-text,7612,591755,,,,"{""Q0"":""24"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w8b0ce54,survey-text,8103,785706,,,,"{""Q0"":""18"",""Q1"":""Nonbinary""}",,,,,,,,,,,,,,,,
w0b466cd,survey-text,11546,1004823,,,,"{""Q0"":""30"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wd412d44,survey-text,12400,751400,,,,"{""Q0"":""56"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w81036fc,survey-text,11602,652929,,,,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wbf12e00,survey-text,15429,773384,,,,"{""Q0"":""59"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w06ff26b,survey-text,8572,799270,,,,"{""Q0"":""29"",""Q1"":""female""}",,,,,,,,,,,,,,,,
we9b1d59,survey-text,11816,786509,,,,"{""Q0"":""26"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
web1bbee,survey-text,9309,638428,,,,"{""Q0"":""47"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w7e47f56,survey-text,7056,719016,,,,"{""Q0"":""33"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wb3bf4a9,survey-text,6223,1776922,,,,"{""Q0"":""28"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w3ff0c26,survey-text,10084,969388,,,,"{""Q0"":""64"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wbc6f2a5,survey-text,12299,735594,,,,"{""Q0"":""57"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w1c102db,survey-text,6273,1042285,,,,"{""Q0"":""29"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w0e13125,survey-text,25919,927032,,,,"{""Q0"":""19"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wdd68eec,survey-text,6928,642175,,,,"{""Q0"":""33"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w065e799,survey-text,7792,702487,,,,"{""Q0"":""18"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wf89c14f,survey-text,7889,735463,,,,"{""Q0"":""26"",""Q1"":""M""}",,,,,,,,,,,,,,,,
w08deefb,survey-text,10105,885735,,,,"{""Q0"":""29"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w1d89ddc,survey-text,8067,1140851,,,,"{""Q0"":""31"",""Q1"":""FEMALE""}",,,,,,,,,,,,,,,,
wfab0200,survey-text,6827,573130,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wf37c034,survey-text,11517,757679,,,,"{""Q0"":""25"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w53ae380,survey-text,8499,921812,,,,"{""Q0"":""29"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w92c0b11,survey-text,11069,912524,,,,"{""Q0"":""44"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wd6c6913,survey-text,7715,844314,,,,"{""Q0"":""26"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w2b81c38,survey-text,15938,965184,,,,"{""Q0"":""23"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w9619c4b,survey-text,17904,1365806,,,,"{""Q0"":""36"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wa586ae0,survey-text,5321,551530,,,,"{""Q0"":""30"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w4a3ef36,survey-text,9938,534285,,,,"{""Q0"":""35"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w753dd3e,survey-text,14778,652104,,,,"{""Q0"":""37"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w995bd68,survey-text,8365,553477,,,,"{""Q0"":""18"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wfc6440c,survey-text,4900,484333,,,,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w6e3ac42,survey-text,16425,547031,,,,"{""Q0"":""26"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wfe06a6d,survey-text,31337,723544,,,,"{""Q0"":""24"",""Q1"":""genderqueer/nonbinary""}",,,,,,,,,,,,,,,,
w37e2365,survey-text,5874,995149,,,,"{""Q0"":""59"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wfdd6fa3,survey-text,12269,798367,,,,"{""Q0"":""32"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w65ae095,survey-text,6983,599014,,,,"{""Q0"":""37"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wfb1d6d3,survey-text,7774,597931,,,,"{""Q0"":""31"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w960c9e9,survey-text,5648,493163,,,,"{""Q0"":""20"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wf818101,survey-text,8371,544965,,,,"{""Q0"":""21"",""Q1"":""Woman""}",,,,,,,,,,,,,,,,
w70f49c8,survey-text,10707,1267424,,,,"{""Q0"":""57"",""Q1"":""female""}",,,,,,,,,,,,,,,,
