wid,view_history,time_elapsed,trial_type,rt,responses,questions,correct,button_pressed,stimulus,block,simulation_mode,trial_id,prs,score,rewards,delays,actions,path,queries,trial_time,state_rewards,action_times,trial_index,key_press,restarts
w250e368,,355230,survey-text,32996,"{""Q0"":""Only look for the long term effects.""}",,,,,,,,,,,,,,,,,,,,
w250e368,,469429,survey-text,113195,"{""Q0"":""Do not worry about short term set backs. Keep your eye on the long term payoff"",""Q1"":""Waiting to make a large purchase until an anticipated sale."",""Q2"":""If I know the sale is coming then I can put off a large purchase until then to save myself some money.""}",,,,,,,,,,,,,,,,,,,,
w250e368,,603040,survey-text,132606,"{""Q0"":""Look for the routes that give you the most options.""}",,,,,,,,,,,,,,,,,,,,
wcb3d9b5,,278719,survey-text,42535,"{""Q0"":""I feel like finding the best option that is furthest away is the most helpful, almost disregarding the first two nodes.""}",,,,,,,,,,,,,,,,,,,,
wcb3d9b5,,404737,survey-text,124970,"{""Q0"":""I would say that the real goal is your long term one and even though you may lose in the short term, it will be worth it in the end."",""Q1"":""An example in my own life is choosing to finish getting my degree. "",""Q2"":""In the short term it is costly with both time and money but once I have reached the goal it benefits me much more than the early cost. ""}",,,,,,,,,,,,,,,,,,,,
wcb3d9b5,,475706,survey-text,69918,"{""Q0"":""I could check the cost of the destination hotels first and maybe one or two along the way instead of checking every one. ""}",,,,,,,,,,,,,,,,,,,,
w62e6de7,,324234,survey-text,74134,"{""Q0"":""I only clicked on the ends of the webs to see what the ending payment would be""}",,,,,,,,,,,,,,,,,,,,
w62e6de7,,587626,survey-text,262369,"{""Q0"":""You should always be planning for the future.  Everything you do today can have a positive or negative impact on the rest of your life. "",""Q1"":""The first thing I think of when applying this strategy to my life is retirement or saving money.  Even putting a little bit away each month is better than nothing and it will be easier if I ever have an emergency.  "",""Q2"":""I might be losing a little spending money every month, but in the long term I could actually end up making money because of interest.  ""}",,,,,,,,,,,,,,,,,,,,
w62e6de7,,992656,survey-text,404022,"{""Q0"":""The shortest routes require the person to stop at at least two cities before spending the night at the hotel.  If they wanted to see a lot of the island, it would be neat to travel to every city possible before the airport but that would cost more.  I would go through Warpcliff, then to Pride Mesa, then to Longgorge.  This way you see the interior of the island, then head toward the coast, then head to the airport.""}",,,,,,,,,,,,,,,,,,,,
w21babce,,826409,survey-text,72529,"{""Q0"":""make decisions quickly""}",,,,,,,,,,,,,,,,,,,,
w21babce,,911634,survey-text,84159,"{""Q0"":""always follow your instinct "",""Q1"":"""",""Q2"":""""}",,,,,,,,,,,,,,,,,,,,
w21babce,,995803,survey-text,83160,"{""Q0"":""i will always plan my journey from the beginning ""}",,,,,,,,,,,,,,,,,,,,
w3bd453e,,398793,survey-text,20985,"{""Q0"":""spread out the clicks more ""}",,,,,,,,,,,,,,,,,,,,
w3bd453e,,464095,survey-text,64277,"{""Q0"":""Sometimes it is good to look at your surroundings and find out more information before moving"",""Q1"":""tasks at work "",""Q2"":""There are many different paths that I can take but it is good to slow down and find which path will work the best ""}",,,,,,,,,,,,,,,,,,,,
w3bd453e,,500833,survey-text,35731,"{""Q0"":""spreading out the information for both is helpful""}",,,,,,,,,,,,,,,,,,,,
wb82340a,,420402,survey-text,48065,"{""Q0"":""I can click on a node""}",,,,,,,,,,,,,,,,,,,,
wb82340a,,503449,survey-text,82043,"{""Q0"":""This is just like life, sometimes you do good and sometimes you don't"",""Q1"":""Just life in general, I started a new job, some days are good and some aren't. "",""Q2"":""Things are going good and then bam!""}",,,,,,,,,,,,,,,,,,,,
wb82340a,,537541,survey-text,33068,"{""Q0"":""I would just randomly pick something so I don't have to pay for it in time""}",,,,,,,,,,,,,,,,,,,,
w18781f0,,948680,survey-text,458766,"{""Q0"":""It seems to me that the middle of the road value is the best decision long-term, so to find a good path while only using 1-2 clicks, I will select any one path (it doesn't matter which one) and see the value. If the value is at an extreme (-4) or (4), I will click another one to see its value. If the value is not too high or too low (0-2) I will go to that node. If both nodes are at extreme values, I will go to the one where I haven't revealed at all. If there's a middle of the road one, I will go to that one immediately. If there are two middle of the road values, I will take my best guess and move forward.\n\nThat way, I can guess which node is best without sacrificing all my clicks.""}",,,,,,,,,,,,,,,,,,,,
w18781f0,,1239709,survey-text,289997,"{""Q0"":""I will say always think about the long-term consequences of the decisions you make. What big rewards you earn short-term rarely work out long-term. Don't pursue things with instant gratification, and patience is a virtue."",""Q1"":""I was conflicted between a decision to do my work vs. playing video games. If I played video games, I would feel more at ease, but it will mean less time to finish my work, and therefore the quality of work will decrease."",""Q2"":""It's similar because I must judge different scenarios (or in the game, nodes) based on the rewards I get. Playing video games may look rewarding in the beginning but doing it first then work is bad decision-making where the long-term rewards are less valuable than if I do my work first.""}",,,,,,,,,,,,,,,,,,,,
w18781f0,,1539864,survey-text,299113,"{""Q0"":""In the Web of Cash it seems to me the best option is always the middle-of-the-road value. Bargain-hunting works short-term, but they may end up costing more overall. Also, since the client is going to stay at a hotel, looking for the shortest route is also important (2 stops max), but only if the hotel prices is less than that than a route with more than two stops. I'm not sure about city sizes, but smaller cities that are not resort towns are going to be less expensive than big cities and resort towns.""}",,,,,,,,,,,,,,,,,,,,
w9f905bf,,289597,survey-text,47816,"{""Q0"":""if you click on two, choose the one that's green. if neither are green, choose the one you didn't click.""}",,,,,,,,,,,,,,,,,,,,
w9f905bf,,402840,survey-text,112234,"{""Q0"":""don't spend too much time thinking about options, just survey a few and take what you've learned from the previous choices."",""Q1"":""buying furniture"",""Q2"":""you can use previous experiences to make more efficient decisions""}",,,,,,,,,,,,,,,,,,,,
w9f905bf,,447911,survey-text,44065,"{""Q0"":""check the prices of all, and choose the one that's least expensive at first.""}",,,,,,,,,,,,,,,,,,,,
wd2a5404,,452325,survey-text,47677,"{""Q0"":""I always revealed the last nodes to find the highest value and then went to that, no matter the consequences at the beginning or middle.""}",,,,,,,,,,,,,,,,,,,,
wd2a5404,,669804,survey-text,216457,"{""Q0"":""Look toward the future, long-term goals. Do not waste too much time on the everyday minutiae of life, or you'll get too caught up in it."",""Q1"":""Focusing on my end career goal, and not worrying too much about the small expenditures because at the end of the day, they are nothing compared to my end goal."",""Q2"":""It's like the game because spending a little bit of money to focus on the end goal proved to be most rewarding, at least for me.""}",,,,,,,,,,,,,,,,,,,,
wd2a5404,,762342,survey-text,91518,"{""Q0"":""Web of cash taught me to think in the most efficient way possible, so hopefully it will be applicable to this game.""}",,,,,,,,,,,,,,,,,,,,
w944d981,,373304,survey-text,9894,"{""Q0"":""Click the long-term ones first.""}",,,,,,,,,,,,,,,,,,,,
w944d981,,446697,survey-text,72362,"{""Q0"":""Look at the long-term goals that you most want to achieve and figure out how to get there while being as successful as possible."",""Q1"":""Choosing a career path."",""Q2"":""I have to think about what will make me happiest long term and then decide smaller decisions like do I want to take a paycut or go back to school, all of which affect me differently.""}",,,,,,,,,,,,,,,,,,,,
w944d981,,489367,survey-text,41647,"{""Q0"":""Start with short term goals instead of long-term ones I think.""}",,,,,,,,,,,,,,,,,,,,
we102018,,491932,survey-text,104524,"{""Q0"":""Click on the end of the paths first. If the reward at the end is the highest possible reward, then take that path. If the reward is not the highest possible reward, click on the middle point of the path. If the cost is not too high, take that path. If there are two with the same reward, choose the path that costs the least. ""}",,,,,,,,,,,,,,,,,,,,
we102018,,631922,survey-text,138978,"{""Q0"":""You have to take some sacrifices for a larger reward. This can apply to most paths and choices of life."",""Q1"":""I thought of school. If you study more which will take time away from friends, you will end up having a better GPA and in return, a better chance at a better college/graduate school. "",""Q2"":""There are costs (spending more time studying) for a reward (good school choices) ""}",,,,,,,,,,,,,,,,,,,,
we102018,,720572,survey-text,87623,"{""Q0"":""Essentially, I will work backwards from the destination to the beginning. I will have to take some time finding out the prices of certain spots but not all spots. ""}",,,,,,,,,,,,,,,,,,,,
wa017e29,,584353,survey-text,64601,"{""Q0"":""looking at the first node of each path to help rule out lower value paths""}",,,,,,,,,,,,,,,,,,,,
wa017e29,,966141,survey-text,380781,"{""Q0"":""always check each of the first dots then check the second dots based on the first dots value"",""Q1"":""in general it is good to always check your options before choosing one path. Like currently I am looking into grad schools and it would be dumb to just choose the first one that looks good before looking at other options."",""Q2"":""like in the game even when looking into the \""dots\"" it is still possible to choose the wrong path without looking at each dot to know for sure""}",,,,,,,,,,,,,,,,,,,,
wa017e29,,1126628,survey-text,159479,"{""Q0"":""check the closer ones first and rule out the more expensive path""}",,,,,,,,,,,,,,,,,,,,
wf43957b,,473926,survey-text,108933,"{""Q0"":""I clicked on the long-term consequences first to see which path would end in 48 (or 24, whichever was the highest) amount of points. Whichever direction had one of the two results ending in 48, I took my chances with that direction.""}",,,,,,,,,,,,,,,,,,,,
wf43957b,,671308,survey-text,196307,"{""Q0"":""Life has many different paths, and while some paths ultimately lead to the same end result, usually each path has a different reward at the end. To help make your decision, weigh all of the short and mid term consequences to help you make the best decision. Additionally, recognize and understand that sometimes, all paths will require some kind of sacrifice thought these sacrifices are usually less than the reward at the end and usually make the decision worth it. "",""Q1"":""Choosing a career. "",""Q2"":""As is the nature of job-hunting, I apply to multiple jobs at a time, and sometimes there is crossover in the application process. This strategy could help me weigh the short, mid, and long term consequences of each job, including its salary, benefits, location, etc. ""}",,,,,,,,,,,,,,,,,,,,
wf43957b,,966344,survey-text,294003,"{""Q0"":""I would look at the first round of cities on each of the three paths: Windy Port, Warcliff, and Goldenlake. To plan the trip as quickly as possible, I would then go in the direction that had the least expensive hotel. From there, if there is a fork in the path, I would find out the prices of the hotels in the next two cities. For example, if Windy Port had the least expensive hotel, then I would focus on finding out if New Reach or Sandbluff had the least expensive hotel. ""}",,,,,,,,,,,,,,,,,,,,
w0b7897b,,2105303,survey-text,148476,"{""Q0"":""following the instructions""}",,,,,,,,,,,,,,,,,,,,
w0b7897b,,2168022,survey-text,61706,"{""Q0"":""Always try to follow instructions"",""Q1"":""Going to a destination using the shortest path"",""Q2"":""Traveling from one place to another.""}",,,,,,,,,,,,,,,,,,,,
w0b7897b,,2192317,survey-text,23285,"{""Q0"":""Using the shortest possible path""}",,,,,,,,,,,,,,,,,,,,
w66a9969,,593121,survey-text,40279,"{""Q0"":""First i will try my luck and then i will go for what i can get max.""}",,,,,,,,,,,,,,,,,,,,
w66a9969,,673602,survey-text,79449,"{""Q0"":""Read the full instruction and don't rush and keep your head cool."",""Q1"":""Always be calm and try your best."",""Q2"":""It like lottery with more chances""}",,,,,,,,,,,,,,,,,,,,
w66a9969,,820513,survey-text,145882,"{""Q0"":""I will go to the destination quickly and less costly.""}",,,,,,,,,,,,,,,,,,,,
wa9c9e3b,,518392,survey-text,124262,"{""Q0"":""I can focus on what I already found instead of clicking more to find a better path.""}",,,,,,,,,,,,,,,,,,,,
wa9c9e3b,,631404,survey-text,111995,"{""Q0"":""That everyone has ups and downs when it comes to life. You just have to focus on the bigger picture."",""Q1"":""In school aspect, you can't focus on a single grade but the overall grade."",""Q2"":""School like above.""}",,,,,,,,,,,,,,,,,,,,
wa9c9e3b,,728928,survey-text,96518,"{""Q0"":""Try to reach the final destination by not going to as much cities to save money.""}",,,,,,,,,,,,,,,,,,,,
w8a6ea6e,,517240,survey-text,88689,"{""Q0"":""To prevent from spending too much on clicks, you can look to see how much cash or bonus is at the end of one path. Like instead of clicking the first two nods, you could just see how much the end is to decide the best one. ""}",,,,,,,,,,,,,,,,,,,,
w8a6ea6e,,798800,survey-text,280535,"{""Q0"":""I would say that although there might be negative short term or midterm effects, what lies at the end of a path or time is what matters the most. It best to stay dedicated because you might luck out at the end. "",""Q1"":""In my own life, I would say this strategy most applies to college. Although college has its setbacks like stress or toxic people, the end goal is getting a degree and getting an education. "",""Q2"":""This situation is similar because stress could be a setback that might discourage someone from going to college, but they should focus on what they would get in the end. Rather than focusing on the negatives along the way, the best it to look at the positive result awaiting. ""}",,,,,,,,,,,,,,,,,,,,
w8a6ea6e,,939596,survey-text,139773,"{""Q0"":""I would consider balancing the amount of time I send on looking for cheaper hotels compared to the fastest route. ""}",,,,,,,,,,,,,,,,,,,,
wf92274e,,328400,survey-text,24380,"{""Q0"":""Identify the end goal that is best and see what the cost would be to get there""}",,,,,,,,,,,,,,,,,,,,
wf92274e,,472989,survey-text,143555,"{""Q0"":""While short-term goals are important, you will likely benefit more from looking at the end result first"",""Q1"":""Investing for retirement"",""Q2"":""There might be ups and downs in the market in the short-term, what is most important is long term performance""}",,,,,,,,,,,,,,,,,,,,
wf92274e,,515864,survey-text,41845,"{""Q0"":""Work backwards to get to a good result""}",,,,,,,,,,,,,,,,,,,,
w5d42ffe,,456384,survey-text,45539,"{""Q0"":""Focus on the nodes that are farthest away from you because they give you the best chance of a higher pay off""}",,,,,,,,,,,,,,,,,,,,
w5d42ffe,,595113,survey-text,137725,"{""Q0"":""Think about what you ultimately want/where you want to be in life, from there, figure out what you need to accomplish in order to be in that life. Finally, figure out the small things you can do today to work towards these goals."",""Q1"":""Going back to school. My ultimate goal is to finally get my bachelors, which means I need to take more classes, but what I can do today is register for said classes. "",""Q2"":""My ultimate, delayed gratification, goal is to graduate, but I have other things I need to get through before I can complete that.""}",,,,,,,,,,,,,,,,,,,,
w5d42ffe,,673072,survey-text,76941,"{""Q0"":""Figure out which airport has the cheapest hotel and work backwards from there.""}",,,,,,,,,,,,,,,,,,,,
wbd96d4b,,534301,survey-text,32572,"{""Q0"":""You should look at the farthest nodes as they have a bigger impact than the closest nodes""}",,,,,,,,,,,,,,,,,,,,
wbd96d4b,,762415,survey-text,227110,"{""Q0"":""Focus on the long term not the short term"",""Q1"":""I chose to study computer science even though it is one of the hardest majors"",""Q2"":""the ending result is worth it""}",,,,,,,,,,,,,,,,,,,,
wbd96d4b,,811310,survey-text,47886,"{""Q0"":""Look at the farther hotels""}",,,,,,,,,,,,,,,,,,,,
w7df5d15,,452528,survey-text,103316,"{""Q0"":""What I did was: I checked the landing/ending nodes of the path I felt I should go on to see if the steps there (whether they be positive or negative numbers) would pay off in the end. Sometimes I had to check multiple ending nodes""}",,,,,,,,,,,,,,,,,,,,
w7df5d15,,776507,survey-text,322973,"{""Q0"":""I would say that a lot of the time, its good to take risks. For some people/scenarios, the risks you take will always pay off but in others, you can't see the pay off until the end. There are also times where it doesn't pay off at all and so I would suggest that you make a solid plan in which you know what your end goal is, and take risks to get there."",""Q1"":""When planning an argumentative essay in school, I would always make sure I have my final argument written first. This is helpful because there are times when, while doing your research, you will come across counter arguments that are just really good. Its important to stand your ground and know what point you want to prove, rather than getting side tracked."",""Q2"":""In wed of cash, I looked at the final node of the path I wanted to chose so that I could know whether I'll have gained in the end or not. If I know that before hand, I can be less concerned about what money I might lose on the way there.""}",,,,,,,,,,,,,,,,,,,,
w7df5d15,,986497,survey-text,208985,"{""Q0"":""I would say though its time consuming, check what the least inexpensive hotel in one of the routes to an airport rather than all.""}",,,,,,,,,,,,,,,,,,,,
w06f009a,,247142,survey-text,18441,"{""Q0"":""Check long term outcomes for best one""}",,,,,,,,,,,,,,,,,,,,
w06f009a,,309687,survey-text,61530,"{""Q0"":""Setting a long term goal ensures that you end up in better off in the end even if it means taking unexpected losses in the beginning"",""Q1"":""Planning a future career."",""Q2"":""You do not know what happens but as long as your final goal is good you will end up on top""}",,,,,,,,,,,,,,,,,,,,
w06f009a,,360673,survey-text,49972,"{""Q0"":""Work backwards from the destination ""}",,,,,,,,,,,,,,,,,,,,
w1303cf3,,220900,survey-text,12998,"{""Q0"":""Clicking on the ending nodes""}",,,,,,,,,,,,,,,,,,,,
w1303cf3,,253440,survey-text,31528,"{""Q0"":""To focus on the ultimate goal"",""Q1"":""Big decisions such as college/career choices"",""Q2"":""You have to focus on the big picture""}",,,,,,,,,,,,,,,,,,,,
w1303cf3,,276860,survey-text,22402,"{""Q0"":""To focus on the big picture""}",,,,,,,,,,,,,,,,,,,,
wda928cd,,524791,survey-text,20584,"{""Q0"":""worry less about short term and focus on long term choices\n""}",,,,,,,,,,,,,,,,,,,,
wda928cd,,619039,survey-text,93220,"{""Q0"":""Sometimes you need to take a short term loss for a long term payoff (take your medicine before you eat a treat)."",""Q1"":""Investing for retirement.  I chose riskier options for the short term when I was younger because of the increased chance of long term benefit"",""Q2"":""It's a marathon, not a sprint.  So, in the web of cash game, the short term number doesn't always represent the final amount won in a round""}",,,,,,,,,,,,,,,,,,,,
wda928cd,,669143,survey-text,49096,"{""Q0"":""don't worry so much about any one step along the way, look for the cumulative savings.""}",,,,,,,,,,,,,,,,,,,,
w5b77ae1,,700130,survey-text,26123,"{""Q0"":""Learn from the previous paths you took""}",,,,,,,,,,,,,,,,,,,,
w5b77ae1,,748697,survey-text,47539,"{""Q0"":""This game shows that your actions have consequences"",""Q1"":""N/A"",""Q2"":""N/A""}",,,,,,,,,,,,,,,,,,,,
w5b77ae1,,887368,survey-text,137644,"{""Q0"":""N/A""}",,,,,,,,,,,,,,,,,,,,
wd9a281c,,498425,survey-text,40502,"{""Q0"":""click the end ones and when you find the 48 stop""}",,,,,,,,,,,,,,,,,,,,
wd9a281c,,592390,survey-text,92923,"{""Q0"":""Quickest path may seem easier but you need to look at the outcome"",""Q1"":""career paths"",""Q2"":""I have to look at different options before making a decisions""}",,,,,,,,,,,,,,,,,,,,
wd9a281c,,633756,survey-text,40343,"{""Q0"":""Get there quickly""}",,,,,,,,,,,,,,,,,,,,
w537b564,,294580,survey-text,71262,"{""Q0"":""Look at the end nobs. Dont click each one. The end value was always greater on the last one than in the middle pathway so no matter what you still made money in the end.""}",,,,,,,,,,,,,,,,,,,,
w537b564,,478427,survey-text,182835,"{""Q0"":""Don't waste time thinking about something you like. In the end their is always some value of trying and learning from experience."",""Q1"":""This reminds me of when I was looking for a job. If your too worried about getting the perfect one in the end you might end up with nothing at all. When you could have had a great opportunity. "",""Q2"":""The journey looked scary as I wasnt sure what the negatives would be along the way but I knew in the end time it would be a positive outcome.""}",,,,,,,,,,,,,,,,,,,,
w537b564,,707552,survey-text,228112,"{""Q0"":""First find which points has the least stops and only get the price of the hotel in the longest distance you will be one the road. So the agent will only need to find the cost of 2 hotels. I would get the prices of windy port and pride mesa because that route has two options that are only 3 stops. ""}",,,,,,,,,,,,,,,,,,,,
wc41b85b,,276961,survey-text,33917,"{""Q0"":""Just click the last dots, they are more likely to have positive high amounts of money.""}",,,,,,,,,,,,,,,,,,,,
wc41b85b,,458289,survey-text,180313,"{""Q0"":""Focus on the long term goals/objectives. The short-term affects are less important than the long-term affects."",""Q1"":""Studying in college to get a degree, or saving up money to get a house/car."",""Q2"":""Investing in education likely will get me a better paying job than without going to college. This relates to the game because the long-term effects (degree and high amount of money) is more important than the short-term effects (spending time and money for classes and low amount of money).""}",,,,,,,,,,,,,,,,,,,,
wc41b85b,,556824,survey-text,97521,"{""Q0"":""The last destination (the spot near the airport) that has the most inexpensive hotel likely will have the most inexpensive hotels that route (the hotels leading up to the spot near the airport).""}",,,,,,,,,,,,,,,,,,,,
w29c765e,,244637,survey-text,29287,"{""Q0"":""Just follow along and hope for the best. ""}",,,,,,,,,,,,,,,,,,,,
w29c765e,,296147,survey-text,50498,"{""Q0"":""Make your choices carefully and think through them. "",""Q1"":""Should you take a job or not. "",""Q2"":""Either I gamble on a less ideal job or take a different route. ""}",,,,,,,,,,,,,,,,,,,,
w29c765e,,313688,survey-text,16528,"{""Q0"":""By the arrows and directions the spider went.""}",,,,,,,,,,,,,,,,,,,,
wea0e2bd,,757277,survey-text,27458,"{""Q0"":""Look only for the $48 node and stop clicking after you find it.""}",,,,,,,,,,,,,,,,,,,,
wea0e2bd,,809227,survey-text,50937,"{""Q0"":""Work smarter, not harder."",""Q1"":""Making a plan so I know what to do."",""Q2"":""Planning ahead helps to reduce consequences in the long run.""}",,,,,,,,,,,,,,,,,,,,
wea0e2bd,,855194,survey-text,44942,"{""Q0"":""Research all of the hotels first to find out which ones will maximize your efforts.""}",,,,,,,,,,,,,,,,,,,,
w4b72058,,275650,survey-text,26678,"{""Q0"":""Look at the long term results and weigh out if the short term consequences are worth it""}",,,,,,,,,,,,,,,,,,,,
w4b72058,,362731,survey-text,86051,"{""Q0"":""Sometimes you have to lose a little to reach your long term goals"",""Q1"":""Going through tough internships to get the job I want"",""Q2"":""getting set back a few dollars to win the 48 dollars is like doing the work to get to your goal""}",,,,,,,,,,,,,,,,,,,,
w4b72058,,399187,survey-text,35448,"{""Q0"":""click on the middle ones first or the last ones""}",,,,,,,,,,,,,,,,,,,,
w4fc6baf,,649723,survey-text,29824,"{""Q0"":""You can think prior to just choosing a path, and really determine how bad the potential consequences could be.""}",,,,,,,,,,,,,,,,,,,,
w4fc6baf,,806099,survey-text,155369,"{""Q0"":""Every action that you take in life has a potential gain and risk. Along with that, just doing the action alone can cost something out of your life."",""Q1"":""Prior to buying something you find that could be useful at the time, you must think about the potential gains you could get from purchasing the product or the consequences. "",""Q2"":""When buying something, you begin by taking a risk in buying the product. Thats where the payment of the first movement comes into play. Then whether or not to decide if you are going to buy the product, similar to the game where you choose what direction you go in, can ultimately decide your fate.""}",,,,,,,,,,,,,,,,,,,,
w4fc6baf,,891501,survey-text,84397,"{""Q0"":""Being able to understand that some days you may have to take the choice where you pay more and other days it won't necessarily be that amount.""}",,,,,,,,,,,,,,,,,,,,
w002a271,,493305,survey-text,125159,"{""Q0"":""Choose a path that has positive results for the first two decisions\n""}",,,,,,,,,,,,,,,,,,,,
w002a271,,759716,survey-text,265394,"{""Q0"":""Evaluate the short term and mid term effects of a decision before deciding to commit to the long term decision."",""Q1"":""Spending money on something that isn't necessary. Short-term is how much joy it brings me in the moment, mid-term is how much money I'll have left if I purchase it, while long-term may be being able to afford bills or groceries."",""Q2"":""It's similar, since the long-term effect has the potential to be positive or negative depending on how you define value of the decision. It could be the emotional value of the decision or the financial value.""}",,,,,,,,,,,,,,,,,,,,
w002a271,,924595,survey-text,163870,"{""Q0"":""Identify the shortest route to the desired destination, see which route has the cheapest hotels in the first two cities and decide based on those.""}",,,,,,,,,,,,,,,,,,,,
w8143d32,,444541,survey-text,41463,"{""Q0"":""Click the outside nodes first\n""}",,,,,,,,,,,,,,,,,,,,
w8143d32,,583002,survey-text,137451,"{""Q0"":""You may need to lose money first before you can achieve your goal amount. "",""Q1"":""I want to get more customers in my business to increase revenue, but to do that i need to spend some money on advertisements, so more people can hear about my business. "",""Q2"":""You have to spend small amounts of money to gain bigger revenue in the end.""}",,,,,,,,,,,,,,,,,,,,
w8143d32,,623139,survey-text,39119,"{""Q0"":""You have to explore different options to find the best way and price. ""}",,,,,,,,,,,,,,,,,,,,
wa779b58,,970159,survey-text,36386,"{""Q0"":""How to play the game,and how to earn money.""}",,,,,,,,,,,,,,,,,,,,
