wid,time_elapsed,button_pressed,trial_type,stimulus,rt,view_history,responses,correct,questions,trial_time,simulation_mode,trial_id,rewards,block,delays,actions,path,trial_index,state_rewards,queries,score,prs,action_times,key_press
w6392fb9,502565,,survey-text,,2277,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
w9964b87,491170,,survey-text,,85368,,"{""Q0"":""To me, the more information you have the better so I did not look at the clicks as a waste."",""Q1"":""Assess all the information and make the best choice based on current wealth, future prospects, and best path forward""}",,,,,,,,,,,,,,,,,
w9964b87,690518,,survey-text,,198322,,"{""Q0"":""Do you need as much information as possible or can you take steps believing you are on the best path?"",""Q1"":""I research as many things as possible before acting. When purchasing a new toothbrush recently, I looked at all the reviews, recommendations, price, and cost of replacements to make my decision."",""Q2"":""I sought out all the information, without regard to the time it took to make my decision. ""}",,,,,,,,,,,,,,,,,
w9964b87,707445,,survey-text,,7281,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w5c03936,376689,,survey-text,,13292,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
w5c03936,388410,,survey-text,,10690,,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",,,,,,,,,,,,,,,,,
w5c03936,403809,,survey-text,,1901,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
w6b242c5,576900,,survey-text,,151550,,"{""Q0"":""I think finding out how much you jend up with at the end of the flight is better than just randomly clicking all around."",""Q1"":""Find out what it would be for the next 19 years would be best for me.""}",,,,,,,,,,,,,,,,,
w6b242c5,771538,,survey-text,,193605,,"{""Q0"":""Well I would say what worked best for me was finding out what the last flight plan would be and make a decision that way."",""Q1"":""If I were going to purchase something being able to know how much it would cost in the long run is what I would like to know."",""Q2"":""Well me clicking the end of the flight let me see if I would earn or lose money, so it worked best for my strategy.""}",,,,,,,,,,,,,,,,,
w6b242c5,805524,,survey-text,,21078,,"{""Q0"":""No, it was pretty straight forward."",""Q1"":""No ""}",,,,,,,,,,,,,,,,,
w827fc90,280214,,survey-text,,85388,,"{""Q0"":""If two of the three \""first moves\"" are negative options, I can take the risk that the third first move will be positive. If I can select a final destination that has a high reward, I will take the risk of losing points to end up there."",""Q1"":""I would look at the final destination for each interest rate-- what would each one look like at the end of 19 years? Then I could get a better idea which one would be of best interest to me.""}",,,,,,,,,,,,,,,,,
w827fc90,406881,,survey-text,,125650,,"{""Q0"":""It's still okay to take risks in life, everybody does, but you can make sure those risks are calculated enough where you'll still end up in a positive place."",""Q1"":""It would help me when it comes to owning a dog, seeing as there are certain fixed costs like food and then other intermittent costs like vet visits. "",""Q2"":""I can see how certain moves will set me back financially, like getting dog training and investing in good food, but this will save me in the long run (less chance of accidents and less health problems).""}",,,,,,,,,,,,,,,,,
w827fc90,420659,,survey-text,,5037,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w8474857,568254,,survey-text,,175030,,"{""Q0"":""Clicking only one of the edges/ends, and if it has either 24 or -48, move on to another until 48 is found. That tends to make finding 48 in the least clicks easiest."",""Q1"":""This doesn&#8217;t really feel related to how I played the game. but I would likely choose based on which one gives me the most advantages across the board rather than just in one of the axes/timelines. Focusing on the 19 years&#8217; interest could/would be ideal because of the accumulation, but otherwise I wouldn&#8217;t fuss myself too hard about the most optimal choice. A lot can happen in 20 years.""}",,,,,,,,,,,,,,,,,
w8474857,652909,,survey-text,,83630,,"{""Q0"":""Take your time, weigh your options, but if the opportunity arises, take it."",""Q1"":""Not applicable."",""Q2"":""Not applicable.""}",,,,,,,,,,,,,,,,,
w8474857,720933,,survey-text,,41571,,"{""Q0"":""Yes. I&#8217;m not entirely sure how any of this is /actually/ related to life as metaphors. I don&#8217;t particularly want the answers told to me, but I did wonder."",""Q1"":""N/A""}",,,,,,,,,,,,,,,,,
w61f7f66,608975,,survey-text,,140786,,"{""Q0"":""Click on just two of the spots on each path and if both spots are profitable then it's most likely the most profitable path."",""Q1"":""I'd choose the mortgage that has the lowest interest rate for the last 19 years.""}",,,,,,,,,,,,,,,,,
w61f7f66,737630,,survey-text,,127649,,"{""Q0"":""Pick the path that has the most profit even if there's a loss at a few parts."",""Q1"":""Loans."",""Q2"":""Loans can have different interest rates at different parts.""}",,,,,,,,,,,,,,,,,
w61f7f66,763010,,survey-text,,14309,,"{""Q0"":""Nope."",""Q1"":""No comment. :-)""}",,,,,,,,,,,,,,,,,
w66dbfb9,616696,,survey-text,,264712,,"{""Q0"":""Consider the long term end-point.  Look for the path the will earn the most.  The highest paid end-point is the best path to take.  Click all of the end points until you find the highest $(usually $48).  Then take that path to get there. "",""Q1"":""Choose the loan that has the lowest interest rate for the next 19 years.  That is the rate that you will be paying for the longest time, and you want it to be as low as possible.""}",,,,,,,,,,,,,,,,,
w66dbfb9,848654,,survey-text,,230916,,"{""Q0"":""Think about where you want to end up and plan your path accordingly.  There may be some hiccups on the way, but you will win out in the end.  "",""Q1"":""I want to lose 10 pounds so I can fit into an old pair of jeans.  I limit my calorie intake and exercise several days a week so that I can meet my goal.  "",""Q2"":""I think about my desired outcome.  I don't enjoy dieting and exercise, but I have to get through that so that I can wear those jeans again.  ""}",,,,,,,,,,,,,,,,,
w66dbfb9,865886,,survey-text,,3453,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
w2ab54ce,624118,,survey-text,,226168,,"{""Q0"":""Click on furthest destinations until finding one that pays max benefit (48 for this game) and then stop checking destinations and begin moving to the destination. If max benefit isn't found, then once all furthest destinations have been checked, identify one that pays the most benefit in the current round and begin moving to it."",""Q1"":""Choose the mortgage with the lowest final-19-year interest rate.""}",,,,,,,,,,,,,,,,,
w2ab54ce,733502,,survey-text,,108366,,"{""Q0"":""Focus on final outcomes. Choose a path that takes you to a destination with maximum benefit."",""Q1"":""Searching for a new job. Look at potential long-term benefits and choose the job with the largest long-term benefit."",""Q2"":""It focuses on long-term benefit from the destination.""}",,,,,,,,,,,,,,,,,
w2ab54ce,758014,,survey-text,,10561,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w0ad7a18,474084,,survey-text,,91759,,"{""Q0"":""Find out the mid term and long term consequences to a decision early. "",""Q1"":""I would look at the long term consequences for each loan, compare the mid term consequences and not worry as much about the short term consequences if the mid and long terms are better than the other loans. ""}",,,,,,,,,,,,,,,,,
w0ad7a18,598875,,survey-text,,123783,,"{""Q0"":""You should weight the long term consequences vs the mid term and not exactly worry about the short term losses or gains. "",""Q1"":""This strategy would work well for business planning, such as an investment in tools or software that may have a short term loss but a steady mid term and long term gain. "",""Q2"":""This is similar because some of the short trips cost me money, but the final destination paid those off in the long term gains. ""}",,,,,,,,,,,,,,,,,
w0ad7a18,633471,,survey-text,,28545,,"{""Q0"":""No it was all very easy to understand. "",""Q1"":""No I enjoyed this first part of the study and thinking about how I could apply it to other parts of my life. ""}",,,,,,,,,,,,,,,,,
w5c088bb,238875,,survey-text,,39159,,"{""Q0"":""Take the earliest discovered optimal route"",""Q1"":""Choose the best long term rate""}",,,,,,,,,,,,,,,,,
w5c088bb,272702,,survey-text,,32822,,"{""Q0"":""Focus on long term, dont be offset by short term costs"",""Q1"":""Investing in an education"",""Q2"":""You need to pay upfront (landing at the smaller airports) to get to the destination""}",,,,,,,,,,,,,,,,,
w5c088bb,289129,,survey-text,,6429,,"{""Q0"":""nope"",""Q1"":""nope\n""}",,,,,,,,,,,,,,,,,
w5a140d3,491556,,survey-text,,88790,,"{""Q0"":""I just started going right for the destinations and stopped wasting time and money on any of the nodes in between."",""Q1"":""I would also be trying to pick the one that saved me the most money.""}",,,,,,,,,,,,,,,,,
w5a140d3,666450,,survey-text,,173793,,"{""Q0"":""I think we're always trying to pick the best path in life and this can be applied to pretty much everything."",""Q1"":""Trying to make decisions about having medical procedures."",""Q2"":""Trying to pick the path that will be most beneficial to my situation.""}",,,,,,,,,,,,,,,,,
w5a140d3,680804,,survey-text,,4641,,"{""Q0"":""No"",""Q1"":""NA""}",,,,,,,,,,,,,,,,,
w03d79e5,712398,,survey-text,,105465,,"{""Q0"":""Well if you only click on one and it is positive, just follow that path and hopefully the entire path will be positive. "",""Q1"":""I would always look for the lowest interest rates.""}",,,,,,,,,,,,,,,,,
w03d79e5,1037201,,survey-text,,323793,,"{""Q0"":""Well I think  I would say to just go with the best gut decision you can because life will have gut decisions at every corner."",""Q1"":""This decision will work best with choices that have to be made quickly. I once had to make a choice between job offers and I just went with the job that made me most comfortable."",""Q2"":""I had to use my gut and go quickly because life is about quick choices.""}",,,,,,,,,,,,,,,,,
w03d79e5,1078960,,survey-text,,9637,,"{""Q0"":""Nothing was hard to understand"",""Q1"":""""}",,,,,,,,,,,,,,,,,
w4a334cd,670532,,survey-text,,72045,,"{""Q0"":""Checking all the other long term consequences. "",""Q1"":""Choose which has the best long term interest rate. ""}",,,,,,,,,,,,,,,,,
w4a334cd,785639,,survey-text,,114101,,"{""Q0"":""That it's alright to make a mistake or go through a struggle, that it'll always turn around and get better if you know you have good coming towards you. "",""Q1"":""Thinking about college because long term you get a degree which will help get you a good job. But short term you have to go through the struggle of exams and tests and it'll be hard. "",""Q2"":""This situation is very similar seeing as you kind of know the long term effects. ""}",,,,,,,,,,,,,,,,,
w4a334cd,837379,,survey-text,,41655,,"{""Q0"":""Yes, I think a test round would be beneficial. I didn't understand the game or what the intelligent tips were telling me until about 3 or 4 rounds in. "",""Q1"":""""}",,,,,,,,,,,,,,,,,
w093eaeb,1209757,,survey-text,,193157,,"{""Q0"":""by knowing the profit and loses I will make before taking a flight"",""Q1"":""will see which will benefit me the most\n""}",,,,,,,,,,,,,,,,,
w093eaeb,1446464,,survey-text,,235654,,"{""Q0"":""Art flight is a nice game that helps making decisions in life"",""Q1"":""making an investment"",""Q2"":""very similar""}",,,,,,,,,,,,,,,,,
w093eaeb,1482819,,survey-text,,20187,,"{""Q0"":""not really"",""Q1"":""thanks ""}",,,,,,,,,,,,,,,,,
w7bcba3b,334590,,survey-text,,48567,,"{""Q0"":""Check airports first, if two have identical values, check cost of paths."",""Q1"":""I would consider the overall cost of each.""}",,,,,,,,,,,,,,,,,
w7bcba3b,412947,,survey-text,,77337,,"{""Q0"":""Try to optimize longterm goals but accept that short or medium term losses can still net a better payoff than short/medium term gains."",""Q1"":""Car loan lengths. A shorter length has higher monthly dues but lower interest, and you end up paying less over time. "",""Q2"":""I had to optimize my overall savings even if it meant taking a short or medium term loss.""}",,,,,,,,,,,,,,,,,
w7bcba3b,425826,,survey-text,,4033,,"{""Q0"":""No"",""Q1"":""NA""}",,,,,,,,,,,,,,,,,
w0d91644,456391,,survey-text,,108350,,"{""Q0"":""I always clicked on the destination bubbles first to see the long term pay out. After that, I would click on the middle buttons to see if I earned or lost money during the route. I'd click on the other connector bubble just to be sure in my plan."",""Q1"":""I would choose between them by looking at which one would benefit me in the long term.""}",,,,,,,,,,,,,,,,,
w0d91644,553595,,survey-text,,96180,,"{""Q0"":""The lesson that I learned during the Flight Planning was that sometimes you have to take losses to gain a big win at the end."",""Q1"":""This strategy would work well during the times that I have to invest in myself."",""Q2"":""I will have to occur some losses and some roadblocks, but at the end of the day it will have been worth it.""}",,,,,,,,,,,,,,,,,
w0d91644,600792,,survey-text,,33195,,"{""Q0"":""Nothing. Everything was well explained."",""Q1"":""I really enjoyed this study and I can't wait for part two tomorrow. Thank you!""}",,,,,,,,,,,,,,,,,
wb35a5f8,565068,,survey-text,,113542,,"{""Q0"":""Checking ending of paths and comparing to the middle proportionally "",""Q1"":""Picking which had the best interest for the remaining 19 years""}",,,,,,,,,,,,,,,,,
wb35a5f8,627939,,survey-text,,61846,,"{""Q0"":""Set goals and compare paths to get there"",""Q1"":""Picking a college degree that I enjoyed getting and will pay well"",""Q2"":""Finding a good path to take""}",,,,,,,,,,,,,,,,,
wb35a5f8,676155,,survey-text,,34834,,"{""Q0"":""No"",""Q1"":""Make clicks for information more like 5$ each""}",,,,,,,,,,,,,,,,,
w93869a6,416036,,survey-text,,111789,,"{""Q0"":""Notice where the $48 reward was most often and click the most commonly occurring locations for it first click on the next round."",""Q1"":""I am failing to see the correlation between these methods of decision making. Honestly, I wouldn't trust myself to make a choice about a mortgage without a professional helping me, as I'm awful with finances. ""}",,,,,,,,,,,,,,,,,
w93869a6,575892,,survey-text,,158852,,"{""Q0"":""Know the maximum reward and the maximum risk a situation will yield before making a blind choice to do something."",""Q1"":""When I first moved to New York City, I found a place that was super cheap yet very far from grocery stores and train stations. If I hadn't looked at those things, I would've spent more money on uber/taxi to do those things that the very small amount difference in rent for that place to the other place i found next to the train AND grocery store."",""Q2"":""In flight planning, if you don't check ahead to see what the result might be, you will end up losing money most likely (unless you're really lucky). I had to plan my flight path to make the most money, just like I had to plan where to move in order to ultimately save the most money.""}",,,,,,,,,,,,,,,,,
w93869a6,605410,,survey-text,,18926,,"{""Q0"":""I didn't get the mortgage question and how that applied to the game. "",""Q1"":""Very fun game, I loved it!""}",,,,,,,,,,,,,,,,,
w202e807,775959,,survey-text,,110244,,"{""Q0"":""Checking out final destinations first."",""Q1"":""I'll choose the remainder of the first year.""}",,,,,,,,,,,,,,,,,
w202e807,874784,,survey-text,,97791,,"{""Q0"":""Not sure"",""Q1"":""Investments"",""Q2"":""I aim at destinations that bring me the most.""}",,,,,,,,,,,,,,,,,
w202e807,897314,,survey-text,,8147,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
