pid,action_times,actions,block,correct,delays,key_press,path,prs,queries,questions,responses,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,view_history
35,,,,,,,,,,,"{""Q0"":""Nothing""}",,22291,,,,631511,,,,survey-text,
35,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""Male""}",,6346,,,,934992,,,,survey-text,
138,,,,,,,,,,,"{""Q0"":""Nothing""}",,15372,,,,1410136,,,,survey-text,
138,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""Male""}",,10015,,,,1774314,,,,survey-text,
154,,,,,,,,,,,"{""Q0"":""I was just going to hope for a good result without spending a dollar at first. Learned its better to check before using the arrow keys""}",,47595,,,,316592,,,,survey-text,
154,,,,,,,,,,,"{""Q0"":""42"",""Q1"":""Female""}",,8695,,,,777032,,,,survey-text,
204,,,,,,,,,,,"{""Q0"":""i need to inspect all the nodes.""}",,18702,,,,345605,,,,survey-text,
32,,,,,,,,,,,"{""Q0"":""i learned its better to look""}",,10488,,,,284048,,,,survey-text,
32,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""male""}",,5384,,,,560359,,,,survey-text,
155,,,,,,,,,,,"{""Q0"":""I learned that by clicking on at-least one or two of the nodes can give you a huge advantage on your outcome most times.""}",,50140,,,,275964,,,,survey-text,
155,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""male""}",,4797,,,,610904,,,,survey-text,
132,,,,,,,,,,,"{""Q0"":""I learned that it's smart to spend the $1 to find where the $48 prize is, and then stop spending money to reveal.""}",,25848,,,,237350,,,,survey-text,
132,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""Male""}",,6970,,,,601940,,,,survey-text,
142,,,,,,,,,,,"{""Q0"":""Always try to inspect no matter what.""}",,30358,,,,560004,,,,survey-text,
112,,,,,,,,,,,"{""Q0"":""I learned that it is good to click every node, until you hit a 48, or have clicked all the nodes""}",,32803,,,,217111,,,,survey-text,
112,,,,,,,,,,,"{""Q0"":""52"",""Q1"":""male""}",,7469,,,,745926,,,,survey-text,
209,,,,,,,,,,,"{""Q0"":""I learned that there is a pattern in which I should click the nodes. ""}",,14109,,,,363220,,,,survey-text,
209,,,,,,,,,,,"{""Q0"":""34"",""Q1"":""Female""}",,7175,,,,582137,,,,survey-text,
9,,,,,,,,,,,"{""Q0"":""I didn't realize I needed to inspect the node at the end. I'm inspecting them and finding the highest amount or the one with the lowest lost.""}",,50877,,,,341044,,,,survey-text,
9,,,,,,,,,,,"{""Q0"":""35"",""Q1"":""female""}",,8027,,,,845868,,,,survey-text,
120,,,,,,,,,,,"{""Q0"":""Finding the biggest payoff and moving toward it is what matters.""}",,11227,,,,443523,,,,survey-text,
120,,,,,,,,,,,"{""Q0"":""41"",""Q1"":""Male""}",,6583,,,,951365,,,,survey-text,
22,,,,,,,,,,,"{""Q0"":""Entermaintent""}",,22745,,,,1437042,,,,survey-text,
22,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""Male""}",,7655,,,,1664977,,,,survey-text,
152,,,,,,,,,,,"{""Q0"":""Entertainment""}",,21037,,,,774181,,,,survey-text,
152,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""MAle""}",,6629,,,,1031962,,,,survey-text,
53,,,,,,,,,,,"{""Q0"":""I learned that it's a good idea to inspect every node, unless I inspect one that's revealed to be +48 then I should just move to that one immediately instead of inspecting every node so I can save some money since that's the best one anyways.""}",,49228,,,,234140,,,,survey-text,
53,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""Male""}",,8825,,,,784950,,,,survey-text,
79,,,,,,,,,,,"{""Q0"":""I've learned to look for a high-value node and stop looking when one shows up. ""}",,50786,,,,339362,,,,survey-text,
79,,,,,,,,,,,"{""Q0"":""33"",""Q1"":""Male""}",,7678,,,,773187,,,,survey-text,
196,,,,,,,,,,,"{""Q0"":""I checked all the nodes first to figure out the best route.""}",,34989,,,,299561,,,,survey-text,
196,,,,,,,,,,,"{""Q0"":""57"",""Q1"":""female""}",,14326,,,,910495,,,,survey-text,
122,,,,,,,,,,,"{""Q0"":""I was able to predict the outcomes of each round before moving""}",,55086,,,,740235,,,,survey-text,
122,,,,,,,,,,,"{""Q0"":""41"",""Q1"":""Female""}",,9537,,,,2579379,,,,survey-text,
63,,,,,,,,,,,"{""Q0"":""I learned that to maximize my profit i need to move the spider to whatever endpoint that has atleast a $48 reward""}",,56360,,,,292526,,,,survey-text,
63,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""male""}",,7235,,,,607586,,,,survey-text,
48,,,,,,,,,,,"{""Q0"":""I learned to click on all the end nodes until I found the one that said $48.""}",,26012,,,,497310,,,,survey-text,
48,,,,,,,,,,,"{""Q0"":""37"",""Q1"":""Female""}",,10268,,,,928556,,,,survey-text,
179,,,,,,,,,,,"{""Q0"":""It is almost always worth checking them all, at least until you potentially discover the max payout at which point simply take that. Except for the round where all were negative the $1 cost is essentially always worth the trade to potentially find the $48. ""}",,57917,,,,258938,,,,survey-text,
179,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""male""}",,11865,,,,745484,,,,survey-text,
167,,,,,,,,,,,"{""Q0"":""At the end I decided that using my inspections were a good idea if I didn't see the highest possible reward yet, instead of going for the first green number I saw.""}",,50902,,,,245440,,,,survey-text,
167,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Female""}",,10598,,,,998519,,,,survey-text,
116,,,,,,,,,,,"{""Q0"":""I learned to inspect the end nodes first, so I know where my potential goal is, and then work my way back from there.""}",,33908,,,,386846,,,,survey-text,
116,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""Male""}",,9207,,,,758524,,,,survey-text,
117,,,,,,,,,,,"{""Q0"":""finding the +48 with as few click as possible.""}",,27897,,,,322196,,,,survey-text,
3,,,,,,,,,,,"{""Q0"":""very nice and good ""}",,29755,,,,690391,,,,survey-text,
3,,,,,,,,,,,"{""Q0"":""35"",""Q1"":""MALE""}",,47960,,,,2067975,,,,survey-text,
151,,,,,,,,,,,"{""Q0"":""good""}",,15459,,,,639102,,,,survey-text,
151,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""Female""}",,96574,,,,1081456,,,,survey-text,
52,,,,,,,,,,,"{""Q0"":""I'm click on less nodes each round, usually make my decision after the first or second click.""}",,44948,,,,209691,,,,survey-text,
52,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""Male""}",,5642,,,,532491,,,,survey-text,
59,,,,,,,,,,,"{""Q0"":""I've learned to be careful how many times I click- I'd probably be more cautious.""}",,22092,,,,293286,,,,survey-text,
59,,,,,,,,,,,"{""Q0"":""23"",""Q1"":""Female""}",,5895,,,,731493,,,,survey-text,
182,,,,,,,,,,,"{""Q0"":""I am followed  the instructions ""}",,37675,,,,638442,,,,survey-text,
182,,,,,,,,,,,"{""Q0"":""35"",""Q1"":""Female""}",,17954,,,,1293288,,,,survey-text,
137,,,,,,,,,,,"{""Q0"":""Learned about the web cash""}",,57502,,,,1357932,,,,survey-text,
137,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""Male""}",,7571,,,,1649117,,,,survey-text,
166,,,,,,,,,,,"{""Q0"":""still confused as to how many point to pick""}",,31630,,,,508103,,,,survey-text,
166,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""male""}",,10454,,,,1259838,,,,survey-text,
110,,,,,,,,,,,"{""Q0"":""nothing""}",,6953,,,,144022,,,,survey-text,
110,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Male""}",,6539,,,,2262219,,,,survey-text,
130,,,,,,,,,,,"{""Q0"":""There is no guaranteed path for success.  I'm just doing what I can to maximize my money.""}",,64001,,,,411923,,,,survey-text,
130,,,,,,,,,,,"{""Q0"":""32"",""Q1"":""Female""}",,5817,,,,891591,,,,survey-text,
215,,,,,,,,,,,"{""Q0"":""I always inspect a node to start and stop inspecting if one of the nodes is +48""}",,36086,,,,387064,,,,survey-text,
215,,,,,,,,,,,"{""Q0"":""33"",""Q1"":""male""}",,8184,,,,858334,,,,survey-text,
75,,,,,,,,,,,"{""Q0"":""Looking for more money and selecting more nodes for $1.""}",,21563,,,,497565,,,,survey-text,
75,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""male""}",,11774,,,,823432,,,,survey-text,
206,,,,,,,,,,,"{""Q0"":""Some games there is no best option and you will lose either way. I have just been clicking in a counter clockwise rotation.""}",,46805,,,,534604,,,,survey-text,
206,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""Male""}",,23403,,,,1095446,,,,survey-text,
21,,,,,,,,,,,"{""Q0"":""""}",,9341,,,,390416,,,,survey-text,
21,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""male""}",,10060,,,,1716377,,,,survey-text,
104,,,,,,,,,,,"{""Q0"":""I need to look at the response/amount I receive before I decide which way to go""}",,71061,,,,982910,,,,survey-text,
104,,,,,,,,,,,"{""Q0"":""43"",""Q1"":""mALE""}",,6761,,,,1250212,,,,survey-text,
183,,,,,,,,,,,"{""Q0"":""Learned to click on highlighted nodes and that there is a 1 dollar fee for doing so. ""}",,31758,,,,217203,,,,survey-text,
183,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""Female""}",,11031,,,,620333,,,,survey-text,
24,,,,,,,,,,,"{""Q0"":""I learned that I should click on nodes until I find the $48 and that I will have to wait longer if I don't. I also learned that if there are multiple $48's I should click on a middle node. At the beginning I was just leaving more up to chance. After a few rounds I learned the system and began to realize how long I would have to wait and the value of spending the dollar to find the higher outcome. ""}",,113726,,,,617081,,,,survey-text,
24,,,,,,,,,,,"{""Q0"":""48"",""Q1"":""Female""}",,16785,,,,1134850,,,,survey-text,
45,,,,,,,,,,,"{""Q0"":""I learned not to inspect all of the nodes, and only the ending ones.""}",,30975,,,,460493,,,,survey-text,
45,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""Male""}",,14685,,,,827174,,,,survey-text,
70,,,,,,,,,,,"{""Q0"":""Nothing""}",,34869,,,,403810,,,,survey-text,
70,,,,,,,,,,,"{""Q0"":""37"",""Q1"":""male""}",,13969,,,,1181784,,,,survey-text,
162,,,,,,,,,,,"{""Q0"":""Now I'm clicking on only the nodes that have typically been highlighted in the past games. ""}",,61319,,,,449083,,,,survey-text,
162,,,,,,,,,,,"{""Q0"":""43"",""Q1"":""Female""}",,12213,,,,888486,,,,survey-text,
100,,,,,,,,,,,"{""Q0"":""Find the best end value. If they are equal go to it. Inspecting middle blocks sometimes has value, but end space has the highest reward or penalty""}",,45106,,,,327997,,,,survey-text,
100,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""male""}",,7815,,,,940810,,,,survey-text,
208,,,,,,,,,,,"{""Q0"":""Changing the path I choose based on the nodes I reveal. I am starting to reveal the biggest digits at end instead of the beginning.""}",,61639,,,,409605,,,,survey-text,
208,,,,,,,,,,,"{""Q0"":""20"",""Q1"":""Male""}",,10677,,,,774779,,,,survey-text,
43,,,,,,,,,,,"{""Q0"":""I should check at least one spot, and I should choose only 2 if both spots are equal""}",,49383,,,,233730,,,,survey-text,
43,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""Woman""}",,6672,,,,681060,,,,survey-text,
136,,,,,,,,,,,"{""Q0"":""I learned to have patience to wait for the amount of time for my choice.""}",,24989,,,,535602,,,,survey-text,
136,,,,,,,,,,,"{""Q0"":""24"",""Q1"":""Male""}",,9732,,,,777502,,,,survey-text,
34,,,,,,,,,,,"{""Q0"":""i dont no just pick the best one""}",,32535,,,,712576,,,,survey-text,
34,,,,,,,,,,,"{""Q0"":""57"",""Q1"":""female""}",,14671,,,,1188892,,,,survey-text,
85,,,,,,,,,,,"{""Q0"":""You don't have to over-inspect the nodes, which I was doing earlier.""}",,14456,,,,163498,,,,survey-text,
85,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""Male""}",,6983,,,,504701,,,,survey-text,
173,,,,,,,,,,,"{""Q0"":""I learned to just find the largest end node and move towards it.  The big payouts are only on the last node.""}",,24897,,,,224489,,,,survey-text,
173,,,,,,,,,,,"{""Q0"":""38"",""Q1"":""Male""}",,7282,,,,867483,,,,survey-text,
10,,,,,,,,,,,"{""Q0"":""I am making a habit of checking the nodes at the end. I learned that all the values can be negative. ""}",,47410,,,,320644,,,,survey-text,
10,,,,,,,,,,,"{""Q0"":""39"",""Q1"":""female""}",,17673,,,,896160,,,,survey-text,
139,,,,,,,,,,,"{""Q0"":""USING A DOLLAR FOR HELP WILL HELP ME EARN HIGHER.""}",,36170,,,,780932,,,,survey-text,
139,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""MALE""}",,30594,,,,1556075,,,,survey-text,
203,,,,,,,,,,,"{""Q0"":""i learned according to the rules of it""}",,40734,,,,1094712,,,,survey-text,
203,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""male ""}",,19666,,,,1639863,,,,survey-text,
123,,,,,,,,,,,"{""Q0"":""once I hit  +48 I may as well take it, it is the best possible outcome""}",,30673,,,,523110,,,,survey-text,
123,,,,,,,,,,,"{""Q0"":""38"",""Q1"":""female""}",,12596,,,,993554,,,,survey-text,
6,,,,,,,,,,,"{""Q0"":""I move the spider on earn the score.""}",,67618,,,,2055438,,,,survey-text,
109,,,,,,,,,,,"{""Q0"":""Nothing""}",,13939,,,,806534,,,,survey-text,
109,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""Male""}",,6660,,,,1016411,,,,survey-text,
2,,,,,,,,,,,"{""Q0"":""I've learned that once I find the $48 point, I should just go there directly, and not search other nodes.""}",,35636,,,,382316,,,,survey-text,
2,,,,,,,,,,,"{""Q0"":""36"",""Q1"":""male""}",,9499,,,,742728,,,,survey-text,
73,,,,,,,,,,,"{""Q0"":""I learned that it always seems to be 24 or 48 at the ends and two or four in the middle, and that the game will get mad at me if I reveal more than 3 or keep revealing after I get a positive 48.""}",,55262,,,,347810,,,,survey-text,
73,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""female""}",,8255,,,,772401,,,,survey-text,
115,,,,,,,,,,,"{""Q0"":""First, inspect the outer nodes, if there are multiple outer nodes of the exact same value, inspect a middle node.""}",,32791,,,,321094,,,,survey-text,
115,,,,,,,,,,,"{""Q0"":""34"",""Q1"":""Male""}",,8603,,,,697902,,,,survey-text,
56,,,,,,,,,,,"{""Q0"":""Useful one""}",,12974,,,,1900464,,,,survey-text,
56,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Male""}",,8360,,,,2241139,,,,survey-text,
169,,,,,,,,,,,"{""Q0"":""Click terminal nodes till you find 48$, then move in that direction.  You should always inspect at least one node.""}",,34489,,,,311461,,,,survey-text,
169,,,,,,,,,,,"{""Q0"":""45"",""Q1"":""male""}",,9756,,,,1248172,,,,survey-text,
101,,,,,,,,,,,"{""Q0"":""I learned where the nodes where and that you need to click on more than one if the first one you click on isn't for a high enough amount. I basically know where click on the nodes, and when to stop clicking. ""}",,87348,,,,445281,,,,survey-text,
101,,,,,,,,,,,"{""Q0"":""56"",""Q1"":""female""}",,12695,,,,827800,,,,survey-text,
111,,,,,,,,,,,"{""Q0"":""we have to find the Pattern and we have to make some decisions ""}",,361045,,,,768766,,,,survey-text,
111,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""Male""}",,32451,,,,1559527,,,,survey-text,
36,,,,,,,,,,,"{""Q0"":""I learned to check the nodes at the end, and to not be afraid to check several before making a move.  At the beginning I didn't want to waste money checking too many nodes, but at the end I checked more nodes before moving.""}",,47026,,,,305315,,,,survey-text,
36,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""female""}",,6227,,,,659569,,,,survey-text,
87,,,,,,,,,,,"{""Q0"":""each node contain different value""}",,38305,,,,424130,,,,survey-text,
87,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""male""}",,10255,,,,978159,,,,survey-text,
54,,,,,,,,,,,"{""Q0"":""Can't able to express any feel""}",,16169,,,,822194,,,,survey-text,
163,,,,,,,,,,,"{""Q0"":""I have learned nothing. It says I should click on highlighted nodes but they're never highlighted until after it chastises me for not clicking on them.""}",,37593,,,,520722,,,,survey-text,
163,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""female""}",,9803,,,,795893,,,,survey-text,
188,,,,,,,,,,,"{""Q0"":""very well to learned""}",,16486,,,,194740,,,,survey-text,
188,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""female""}",,12563,,,,602920,,,,survey-text,
66,,,,,,,,,,,"{""Q0"":""something interesting""}",,26432,,,,769371,,,,survey-text,
66,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Male""}",,7723,,,,1214926,,,,survey-text,
214,,,,,,,,,,,"{""Q0"":""I found the highest bonus and went towards it.""}",,23928,,,,538256,,,,survey-text,
214,,,,,,,,,,,"{""Q0"":""39"",""Q1"":""MALE""}",,8500,,,,1102844,,,,survey-text,
23,,,,,,,,,,,"{""Q0"":""I learned to inspect all of the nodes and not just one""}",,18012,,,,288283,,,,survey-text,
23,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""Male""}",,7536,,,,794331,,,,survey-text,
62,,,,,,,,,,,"{""Q0"":""I have learned to only click until a node is green. I am not clicking all of the nodes now.""}",,75991,,,,480380,,,,survey-text,
62,,,,,,,,,,,"{""Q0"":""32"",""Q1"":""Male""}",,10415,,,,831023,,,,survey-text,
219,,,,,,,,,,,"{""Q0"":""I learned to make sure to inspect all nodes until you find the highest prize available.""}",,24478,,,,189695,,,,survey-text,
219,,,,,,,,,,,"{""Q0"":""53"",""Q1"":""Male""}",,7826,,,,527301,,,,survey-text,
185,,,,,,,,,,,"{""Q0"":""i should be more patient ""}",,13444,,,,304762,,,,survey-text,
185,,,,,,,,,,,"{""Q0"":""43"",""Q1"":""female""}",,7512,,,,598827,,,,survey-text,
129,,,,,,,,,,,"{""Q0"":""this made so little sense. i dont know why i kept getting stopped for 31 seconds because i didnt choose the highlighted part. there was no highlighting.""}",,24281,,,,486032,,,,survey-text,
129,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""I'm a man""}",,11959,,,,759403,,,,survey-text,
27,,,,,,,,,,,"{""Q0"":""I began making sure I inspected each node unless I already uncovered a node with high value.""}",,37076,,,,205904,,,,survey-text,
27,,,,,,,,,,,"{""Q0"":""23"",""Q1"":""Male""}",,9446,,,,648043,,,,survey-text,
55,,,,,,,,,,,"{""Q0"":""good ""}",,26546,,,,1030129,,,,survey-text,
55,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""male""}",,7989,,,,1609506,,,,survey-text,
159,,,,,,,,,,,"{""Q0"":""""}",,6566,,,,353292,,,,survey-text,
192,,,,,,,,,,,"{""Q0"":""I learned how to take the best decision based on two clicks mostly. When there is a -24 nodes all of them will be red, just like the green.""}",,58617,,,,729440,,,,survey-text,
192,,,,,,,,,,,"{""Q0"":""23"",""Q1"":""Male""}",,15461,,,,1285691,,,,survey-text,
68,,,,,,,,,,,"{""Q0"":""good""}",,7282,,,,663701,,,,survey-text,
68,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""male ""}",,17262,,,,1080393,,,,survey-text,
189,,,,,,,,,,,"{""Q0"":""If the first outer node is of high value, that is most likely the route to take""}",,34018,,,,390363,,,,survey-text,
189,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""female""}",,16803,,,,750218,,,,survey-text,
19,,,,,,,,,,,"{""Q0"":""good""}",,9222,,,,679873,,,,survey-text,
19,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""male""}",,8961,,,,938543,,,,survey-text,
0,,,,,,,,,,,"{""Q0"":""I learned that you can often get away with revealing one node, but never need to reveal three.""}",,22728,,,,149389,,,,survey-text,
197,,,,,,,,,,,"{""Q0"":""To inspect more of the nodes, or not inspect too much. Saving money and using it efficiently.""}",,20309,,,,447056,,,,survey-text,
197,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Male""}",,7908,,,,753017,,,,survey-text,
72,,,,,,,,,,,"{""Q0"":""To stop clicking nodes if I see +$48""}",,12114,,,,183240,,,,survey-text,
72,,,,,,,,,,,"{""Q0"":""34"",""Q1"":""F""}",,6603,,,,576150,,,,survey-text,
190,,,,,,,,,,,"{""Q0"":""I move the spider as soon as i find valuable number""}",,52733,,,,362150,,,,survey-text,
190,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""Female""}",,22029,,,,993556,,,,survey-text,
177,,,,,,,,,,,"{""Q0"":""I haven't learned much. It seems random.""}",,28094,,,,554513,,,,survey-text,
177,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""Male""}",,17036,,,,1171742,,,,survey-text,
194,,,,,,,,,,,"{""Q0"":""1.They can all be negative.  2. If you hit a 48 don't go any further.""}",,40464,,,,233876,,,,survey-text,
194,,,,,,,,,,,"{""Q0"":""67"",""Q1"":""m""}",,9626,,,,865476,,,,survey-text,
174,,,,,,,,,,,"{""Q0"":""If I see a positive node, I go for it. If they're all negative, I'll look for which path would cost the least""}",,48674,,,,308029,,,,survey-text,
174,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""Male""}",,5875,,,,718771,,,,survey-text,
207,,,,,,,,,,,"{""Q0"":""Once I find the max amount I no longer click on nodes, I just go straight to it.""}",,36566,,,,343617,,,,survey-text,
207,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""F""}",,8878,,,,960514,,,,survey-text,
134,,,,,,,,,,,"{""Q0"":""I learned how the AI wanted me to follow that way because I didn't want to have to wait. I learned that it was easier to follow what I thought the AI wanted rather than do it the way I actually wanted.""}",,74097,,,,381889,,,,survey-text,
134,,,,,,,,,,,"{""Q0"":""41"",""Q1"":""male""}",,9919,,,,1004974,,,,survey-text,
205,,,,,,,,,,,"{""Q0"":""I found a way to get high pay""}",,39567,,,,496713,,,,survey-text,
205,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""male""}",,6936,,,,847425,,,,survey-text,
140,,,,,,,,,,,"{""Q0"":""that sometimes life isn't the fairest""}",,18003,,,,517084,,,,survey-text,
140,,,,,,,,,,,"{""Q0"":""32"",""Q1"":""asexual""}",,4128,,,,886602,,,,survey-text,
181,,,,,,,,,,,"{""Q0"":""I learned to click on more nodes""}",,11965,,,,406248,,,,survey-text,
181,,,,,,,,,,,"{""Q0"":""22"",""Q1"":""Female""}",,6464,,,,752162,,,,survey-text,
170,,,,,,,,,,,"{""Q0"":""I learned that you gotta be sure that you click on as many nodes as you need to so that you can maximize your payoff.""}",,40968,,,,152893,,,,survey-text,
170,,,,,,,,,,,"{""Q0"":""63"",""Q1"":""Female""}",,6728,,,,482036,,,,survey-text,
124,,,,,,,,,,,"{""Q0"":""The top spot seems to be picked most often.""}",,38231,,,,370475,,,,survey-text,
124,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Male""}",,12532,,,,827120,,,,survey-text,
200,,,,,,,,,,,"{""Q0"":""Them highest values (24 and 48) will always be in the farthest to reach nodes. Therefore, it is always best to discover those first, since if you find a 48 it will always be a positive path to take. At first, I was thinking that the immediate nodes were the most important, and I blew some money on those. ""}",,96439,,,,498038,,,,survey-text,
200,,,,,,,,,,,"{""Q0"":""23"",""Q1"":""Male""}",,10975,,,,1047255,,,,survey-text,
133,,,,,,,,,,,"{""Q0"":""Once I found a good outcome, I went with it instead of checking the other nodes. I also found that as long as I inspected the nodes ahead of time, it was nearly impossible to lose money in a round.""}",,49153,,,,256945,,,,survey-text,
133,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""female""}",,7349,,,,601437,,,,survey-text,
186,,,,,,,,,,,"{""Q0"":""Nothing""}",,78508,,,,955825,,,,survey-text,
186,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""Male""}",,7711,,,,1498243,,,,survey-text,
38,,,,,,,,,,,"{""Q0"":""I have learned that I should select each node. Also, once I find $48, there is no need to check other nodes. At the beginning, I was selecting a node after only selecting one node.""}",,58452,,,,1216815,,,,survey-text,
38,,,,,,,,,,,"{""Q0"":""33"",""Q1"":""Female""}",,17497,,,,2296300,,,,survey-text,
4,,,,,,,,,,,"{""Q0"":""Click on all nodes to find out the values. If the first node you clicked is +48 then proceed to that node without checking the value of the rest. This is because +48 is the highest value you can get.""}",,59832,,,,183288,,,,survey-text,
4,,,,,,,,,,,"{""Q0"":""27"",""Q1"":""Male""}",,9147,,,,712748,,,,survey-text,
102,,,,,,,,,,,"{""Q0"":""I know to keep clicking nodes until I find the $48 node.""}",,12409,,,,224035,,,,survey-text,
102,,,,,,,,,,,"{""Q0"":""39"",""Q1"":""Male""}",,10482,,,,561381,,,,survey-text,
195,,,,,,,,,,,"{""Q0"":""I learned that it is best to reveal the final destination spots until I uncover a $48 one. If there are none, I should also click on the 2nd to last spots. I'll stop once I find a $48 spot.""}",,101293,,,,472274,,,,survey-text,
195,,,,,,,,,,,"{""Q0"":""47"",""Q1"":""Male""}",,10007,,,,1064777,,,,survey-text,
93,,,,,,,,,,,"{""Q0"":""I learned that the choices I make sometimes have good and sometimes bad results.""}",,58455,,,,1119670,,,,survey-text,
93,,,,,,,,,,,"{""Q0"":""41"",""Q1"":""Male""}",,12637,,,,1496712,,,,survey-text,
217,,,,,,,,,,,"{""Q0"":""I learned which nodes to inspect & when to save money & not inspect any more nodes.""}",,59981,,,,488131,,,,survey-text,
217,,,,,,,,,,,"{""Q0"":""44"",""Q1"":""male""}",,16498,,,,972656,,,,survey-text,
14,,,,,,,,,,,"{""Q0"":""I am making a decision quickly when I find a high amount in a circle at the end of the path instead of wasting dollars on checking other circles.""}",,55663,,,,374387,,,,survey-text,
