wid,view_history,trial_type,rt,time_elapsed,responses,questions,correct,stimulus,button_pressed,simulation_mode,score,block,path,action_times,prs,trial_id,rewards,trial_time,state_rewards,trial_index,actions,delays,queries
w6e58f0e,,survey-text,9940,664861,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
weedbe66,,survey-text,10708,1370014,"{""Q0"":""62"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w9aa1b5a,,survey-text,10271,768181,"{""Q0"":""38"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w1ecf557,,survey-text,7763,651231,"{""Q0"":""20"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w9363544,,survey-text,30636,783636,"{""Q0"":""21"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w8b61659,,survey-text,11951,1540631,"{""Q0"":""43"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w553b9db,,survey-text,8181,913494,"{""Q0"":""48"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wceb13b9,,survey-text,6082,551934,"{""Q0"":""35"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w064d228,,survey-text,6328,506122,"{""Q0"":""20"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w0a9e57a,,survey-text,7931,878666,"{""Q0"":""36"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w9c804e5,,survey-text,6070,719225,"{""Q0"":""33"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w75f1bb5,,survey-text,22232,1889542,"{""Q0"":""70"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wc0d7f20,,survey-text,7285,1218669,"{""Q0"":""28"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wf83a6b1,,survey-text,10742,662365,"{""Q0"":""26"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w12ea039,,survey-text,7741,630597,"{""Q0"":""25"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w3df05a5,,survey-text,13583,556565,"{""Q0"":""41"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wc57a9c3,,survey-text,8169,636524,"{""Q0"":""36"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wc7a605c,,survey-text,6748,1190832,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w8062067,,survey-text,8403,775464,"{""Q0"":""30"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w6c3f3fe,,survey-text,6072,415284,"{""Q0"":""29"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w4ddf4b4,,survey-text,4955,497929,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w9546433,,survey-text,7769,644199,"{""Q0"":""36"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w61510e3,,survey-text,5947,546036,"{""Q0"":""33"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wdafd796,,survey-text,4886,773846,"{""Q0"":""35"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wa5cdb15,,survey-text,5667,795485,"{""Q0"":""28"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w6d12fa6,,survey-text,8403,786759,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w5133666,,survey-text,7395,508190,"{""Q0"":""27"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w3533afb,,survey-text,8937,854551,"{""Q0"":""26"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w33ea93f,,survey-text,9213,720557,"{""Q0"":""22"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wcfe99c3,,survey-text,7533,529391,"{""Q0"":""36"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w6fd3105,,survey-text,5894,733188,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wa240aec,,survey-text,11936,1233795,"{""Q0"":""54"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w855ba57,,survey-text,7313,620017,"{""Q0"":""37"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w27b6895,,survey-text,5851,923747,"{""Q0"":""38"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wf6615db,,survey-text,8410,629666,"{""Q0"":""44"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wfe98c66,,survey-text,4679,4344216,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w725dfe0,,survey-text,11029,756016,"{""Q0"":""45"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w08f0a02,,survey-text,8636,568050,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
waf3e090,,survey-text,11974,808890,"{""Q0"":""31"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w67df2e2,,survey-text,6707,836803,"{""Q0"":""49"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w21076b8,,survey-text,19810,580949,"{""Q0"":""70"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w4034804,,survey-text,11050,520357,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w0223588,,survey-text,9617,517686,"{""Q0"":""23"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wfe10a70,,survey-text,8343,677160,"{""Q0"":""27"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w6e1a65e,,survey-text,5088,490266,"{""Q0"":""34"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wfacf0ec,,survey-text,8667,932964,"{""Q0"":""19"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wfc78fd5,,survey-text,11228,621584,"{""Q0"":""29"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w30d205e,,survey-text,6066,636055,"{""Q0"":""34"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w3befd75,,survey-text,7127,817877,"{""Q0"":""36"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w1bc0b7b,,survey-text,6703,1198795,"{""Q0"":""32"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w0349d25,,survey-text,7214,463770,"{""Q0"":""27"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wcb756e3,,survey-text,7483,509127,"{""Q0"":""22"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wfebf89d,,survey-text,6844,827722,"{""Q0"":""28"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wd01f0e7,,survey-text,9441,582696,"{""Q0"":""18"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wc24e317,,survey-text,8221,655180,"{""Q0"":""22"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w765ccfb,,survey-text,5044,667668,"{""Q0"":""27"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w3e0defd,,survey-text,13000,1224059,"{""Q0"":""64"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
we0625fa,,survey-text,5582,1662665,"{""Q0"":""41"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
we44e333,,survey-text,9378,1899238,"{""Q0"":""20"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wb8c55f8,,survey-text,11628,1280652,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
waea68f3,,survey-text,9111,1735110,"{""Q0"":""55"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wf449cd6,,survey-text,9527,514014,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wc92226c,,survey-text,13854,761886,"{""Q0"":""28"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w76bfb45,,survey-text,7434,683244,"{""Q0"":""23"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
we5c5af6,,survey-text,6237,700446,"{""Q0"":""31"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wfd1d179,,survey-text,8520,962951,"{""Q0"":""41"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w34ef445,,survey-text,10058,992013,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wc09f7fe,,survey-text,19435,1069752,"{""Q0"":""18"",""Q1"":""electricity""}",,,,,,,,,,,,,,,,,,
w628b501,,survey-text,36137,941362,"{""Q0"":""\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n3\n\n\n\n\n\n\n\n\n\n\n\n\n8\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n3\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n8\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n"",""Q1"":""\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nf\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n""}",,,,,,,,,,,,,,,,,,
w09c837a,,survey-text,10847,950394,"{""Q0"":""38"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w9e08d13,,survey-text,10844,546825,"{""Q0"":""25"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w02b288f,,survey-text,6968,666464,"{""Q0"":""36"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wf611255,,survey-text,13136,785453,"{""Q0"":""44"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w1fa8b69,,survey-text,8177,950902,"{""Q0"":""36"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wa752ee0,,survey-text,7264,1519700,"{""Q0"":""37"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w47805c4,,survey-text,54143,670772,"{""Q0"":""29"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w89d15a2,,survey-text,10603,1129749,"{""Q0"":""22"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w9833d04,,survey-text,15441,974912,"{""Q0"":""32"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w5bb6149,,survey-text,8557,494846,"{""Q0"":""23"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w367331b,,survey-text,5395,724159,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w485cb97,,survey-text,7269,943800,"{""Q0"":""21"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w458c266,,survey-text,9882,533220,"{""Q0"":""49"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w60a85d3,,survey-text,8487,609405,"{""Q0"":""44"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w1d4c0cf,,survey-text,6849,812058,"{""Q0"":""39"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w5b9f70a,,survey-text,15140,608638,"{""Q0"":""25"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w8d2ebc7,,survey-text,8279,841913,"{""Q0"":""31"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w7fecdaa,,survey-text,7931,735936,"{""Q0"":""36"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w8d02f7f,,survey-text,15859,996234,"{""Q0"":""22"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w5771895,,survey-text,16088,543515,"{""Q0"":""26"",""Q1"":""no""}",,,,,,,,,,,,,,,,,,
w8630afd,,survey-text,5492,576998,"{""Q0"":""31"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w7db0888,,survey-text,8263,585243,"{""Q0"":""52"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w1bcff61,,survey-text,5279,590151,"{""Q0"":""29"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w853a6b0,,survey-text,9422,898834,"{""Q0"":""41"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w2407348,,survey-text,10553,691857,"{""Q0"":""33"",""Q1"":""woman""}",,,,,,,,,,,,,,,,,,
w670d200,,survey-text,10589,1040380,"{""Q0"":""54"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wf79d9a6,,survey-text,6234,494731,"{""Q0"":""22"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w1f7eec1,,survey-text,5588,522865,"{""Q0"":""22"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w8098a87,,survey-text,9932,741706,"{""Q0"":""39"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w29d7d8e,,survey-text,5133,528526,"{""Q0"":""20"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w12fc2f3,,survey-text,9574,882638,"{""Q0"":""31"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w54c1afa,,survey-text,8521,632773,"{""Q0"":""21"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
we4d992b,,survey-text,7901,849709,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wbd7591f,,survey-text,14193,1274477,"{""Q0"":""74"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w2c1f9ed,,survey-text,18172,1207918,"{""Q0"":""66"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w7fad671,,survey-text,9513,829189,"{""Q0"":""35"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wc0fa458,,survey-text,17846,849574,"{""Q0"":""20"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w2c0956a,,survey-text,4749,2948860,"{""Q0"":""32"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w8296e17,,survey-text,5192,486438,"{""Q0"":""34"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w2a370f9,,survey-text,8948,646467,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w39dc19c,,survey-text,5812,896224,"{""Q0"":""34"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w9caaa6b,,survey-text,11552,547181,"{""Q0"":""49"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wb814433,,survey-text,9827,718412,"{""Q0"":""36"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wec143ce,,survey-text,29939,995567,"{""Q0"":""40"",""Q1"":""I'm a born female and not confused about it""}",,,,,,,,,,,,,,,,,,
w2fa183a,,survey-text,7366,601360,"{""Q0"":""34"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
waf68ad3,,survey-text,9248,633076,"{""Q0"":""23"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wa6ce07d,,survey-text,8079,712887,"{""Q0"":""29"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wa78334b,,survey-text,11618,734702,"{""Q0"":""23"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w4b14f45,,survey-text,10323,854136,"{""Q0"":""32"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wd909eeb,,survey-text,14108,942239,"{""Q0"":""37"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wbdfbf9b,,survey-text,7595,549116,"{""Q0"":""20"",""Q1"":""man""}",,,,,,,,,,,,,,,,,,
w9383dc8,,survey-text,6958,546068,"{""Q0"":""40"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w19f09bd,,survey-text,6805,1783519,"{""Q0"":""35"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wedf5048,,survey-text,5989,566113,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w0f99d0d,,survey-text,13064,1061959,"{""Q0"":""42"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w2117733,,survey-text,17465,806987,"{""Q0"":""46"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
weca3ebb,,survey-text,11073,748919,"{""Q0"":""26"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wc532ddf,,survey-text,7401,742738,"{""Q0"":""22"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wc07651f,,survey-text,7806,1199204,"{""Q0"":""31"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wea707d2,,survey-text,7170,491520,"{""Q0"":""30"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w7939035,,survey-text,8625,506819,"{""Q0"":""49"",""Q1"":""F""}",,,,,,,,,,,,,,,,,,
w7d8f2b2,,survey-text,18182,998994,"{""Q0"":""40"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w4ee7822,,survey-text,6068,614799,"{""Q0"":""29"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w8c99ce4,,survey-text,9160,1234502,"{""Q0"":""45"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w4b088ef,,survey-text,11241,1060822,"{""Q0"":""21"",""Q1"":""Woman""}",,,,,,,,,,,,,,,,,,
w53be05b,,survey-text,6031,1102200,"{""Q0"":""31"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w6064204,,survey-text,23583,1171933,"{""Q0"":""40"",""Q1"":""F""}",,,,,,,,,,,,,,,,,,
wce758ad,,survey-text,9632,1903103,"{""Q0"":""46"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wb32326d,,survey-text,15271,1845770,"{""Q0"":""51"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w35943a3,,survey-text,8241,1237116,"{""Q0"":""30"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wbb8ddbe,,survey-text,10971,670453,"{""Q0"":""34"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w7ebb5f4,,survey-text,8112,705887,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w383810e,,survey-text,10568,1852101,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w56988c6,,survey-text,6393,853060,"{""Q0"":""19"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
